sep=,
"row_id","country_name","water_source","water_tech","status_id","management","pay","installer","install_year","status","source","adm1","adm2","wpdx_id","report_date","country_id","activity_id","data_lnk","orig_lnk","photo_lnk","converted","created","updated","lat_deg","lon_deg","location","count","fecal_coliform_presence","fecal_coliform_value","subjective_quality"
"673764","Cambodia","Mechanically Drilled Borehole","Electrical pump","yes","","700 KHR per container","","2013","","Water Mission","","","wpdx-00673764","2017-12-07T00:00:00+00:00","KH","00.021.25","https://www.waterpointdata.org/dataset/resource/de6329d3-e0fc-43bb-a42a-adbb673f5fca","","","","2018-01-30T16:13:44-05:00","2018-01-30T16:13:44-05:00","11.4737","104.86799999999999","(11.4737,104.86799999999999)","1","","",""
"673765","Cambodia","Hand-Dug Well","Electrical pump","yes","","700 KHR per container","","2013","","Water Mission","","","wpdx-00673765","2017-12-07T00:00:00+00:00","KH","00.021.29","https://www.waterpointdata.org/dataset/resource/de6329d3-e0fc-43bb-a42a-adbb673f5fca","","","","2018-01-30T16:13:44-05:00","2018-01-30T16:13:44-05:00","11.9396","104.708","(11.9396,104.708)","1","","",""
"673770","Cambodia","Mechanically Drilled Borehole","Electrical pump","yes","","600 KHR per container","","2014","","Water Mission","","","wpdx-00673770","2017-12-01T00:00:00+00:00","KH","00.021.30","https://www.waterpointdata.org/dataset/resource/de6329d3-e0fc-43bb-a42a-adbb673f5fca","","","","2018-01-30T16:13:44-05:00","2018-01-30T16:13:44-05:00","12.2848","105.48999999999999","(12.2848,105.48999999999999)","1","","",""
"673781","Cambodia","Mechanically Drilled Borehole","Electrical pump","yes","","500 KHR per container","","2013","","Water Mission","","","wpdx-00673781","2017-12-01T00:00:00+00:00","KH","00.021.28","https://www.waterpointdata.org/dataset/resource/de6329d3-e0fc-43bb-a42a-adbb673f5fca","","","","2018-01-30T16:13:44-05:00","2018-01-30T16:13:44-05:00","11.3794","104.697","(11.3794,104.697)","1","","",""
"673782","Cambodia","Mechanically Drilled Borehole","Electrical pump","yes","","500 KHR per container","","2013","","Water Mission","","","wpdx-00673782","2017-12-07T00:00:00+00:00","KH","00.021.27","https://www.waterpointdata.org/dataset/resource/de6329d3-e0fc-43bb-a42a-adbb673f5fca","","","","2018-01-30T16:13:44-05:00","2018-01-30T16:13:44-05:00","11.9614","104.86799999999999","(11.9614,104.86799999999999)","1","","",""
"715229","Cambodia","Mechanically Drilled Borehole","Electrical pump","yes","","700 KHR per container","","2013","","Water Mission","","","wpdx-00673764","2017-12-07T00:00:00+00:00","KH","00.021.25","https://www.waterpointdata.org/dataset/resource/de6329d3-e0fc-43bb-a42a-adbb673f5fca","","","","2018-02-15T11:35:54-05:00","2018-02-15T11:35:54-05:00","11.4737","104.86799999999999","(11.4737,104.86799999999999)","1","","",""
"715230","Cambodia","Hand-Dug Well","Electrical pump","yes","","700 KHR per container","","2013","","Water Mission","","","wpdx-00673765","2017-12-07T00:00:00+00:00","KH","00.021.29","https://www.waterpointdata.org/dataset/resource/de6329d3-e0fc-43bb-a42a-adbb673f5fca","","","","2018-02-15T11:35:54-05:00","2018-02-15T11:35:54-05:00","11.9396","104.708","(11.9396,104.708)","1","","",""
"715235","Cambodia","Mechanically Drilled Borehole","Electrical pump","yes","","600 KHR per container","","2014","","Water Mission","","","wpdx-00673770","2017-12-01T00:00:00+00:00","KH","00.021.30","https://www.waterpointdata.org/dataset/resource/de6329d3-e0fc-43bb-a42a-adbb673f5fca","","","","2018-02-15T11:35:54-05:00","2018-02-15T11:35:54-05:00","12.2848","105.48999999999999","(12.2848,105.48999999999999)","1","","",""
"715246","Cambodia","Mechanically Drilled Borehole","Electrical pump","yes","","500 KHR per container","","2013","","Water Mission","","","wpdx-00673781","2017-12-01T00:00:00+00:00","KH","00.021.28","https://www.waterpointdata.org/dataset/resource/de6329d3-e0fc-43bb-a42a-adbb673f5fca","","","","2018-02-15T11:35:54-05:00","2018-02-15T11:35:54-05:00","11.3794","104.697","(11.3794,104.697)","1","","",""
"715247","Cambodia","Mechanically Drilled Borehole","Electrical pump","yes","","500 KHR per container","","2013","","Water Mission","","","wpdx-00673782","2017-12-07T00:00:00+00:00","KH","00.021.27","https://www.waterpointdata.org/dataset/resource/de6329d3-e0fc-43bb-a42a-adbb673f5fca","","","","2018-02-15T11:35:54-05:00","2018-02-15T11:35:54-05:00","11.9614","104.86799999999999","(11.9614,104.86799999999999)","1","","",""
