Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem,
functional,Arusha,Meru,Usa River,"36.84839758,-3.386381983",spring,0,74,2009,enough,02073098173WP11,good,gravity,unknown,unknown,Government of Tanzania,Community,vwc,none,
functional,Arusha,Meru,Usa River,"36.83672533,-3.384204527",spring,0,140,2004,enough,02073098173WP15,good,gravity,unknown,unknown,Government of Tanzania,Community,vwc,none,
functional,Arusha,Meru,Usa River,"36.84489591,-3.38959423",spring,0,120,2008,enough,02073098173WP16,good,gravity,unknown,unknown,Government of Tanzania,Community,vwc,none,
functional,Arusha,Meru,Usa River,"36.84671482,-3.383152612",spring,0,120,2009,enough,02073098173WP13,good,gravity,unknown,unknown,Richard M.Kyore,Richard M.Kyore,vwc,none,
functional,Arusha,Meru,Usa River,"36.85806056,-3.371379438",spring,0,150,2006,enough,02073098173WP01,good,gravity,unknown,unknown,Killflora,Killflora/ Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.85391359,-3.373308162",spring,0,500,2008,enough,02073098173WP02,good,gravity,unknown,unknown,Killflora,Killflora /Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.85308586,-3.37447226",spring,0,350,2008,enough,02073098173WP03,good,gravity,unknown,unknown,Killflora,Killflora/ Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.85082429,-3.375892452",spring,0,450,2008,enough,02073098173WP05,good,gravity,unknown,never pay,Killflora,Killflora /Community,wua,none,
functional,Arusha,Meru,Usa River,"36.85004827,-3.37784",spring,0,350,2007,enough,02073098173WP06,good,gravity,unknown,unknown,Killflora,Killflora /Community,wua,none,
functional,Arusha,Meru,Usa River,"36.84784841,-3.380195244",spring,0,350,2008,enough,02073098173WP08,good,gravity,unknown,unknown,Killflora,Killflora/ Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.85303468,-3.386882213",spring,0,98,2009,enough,02073098173WP09,good,gravity,unknown,unknown,Government of Tanzania,Community,vwc,none,
functional,Arusha,Meru,Usa River,"36.85000785,-3.385083269",spring,0,85,2009,enough,02073098173WP10,good,gravity,unknown,unknown,Government of Tanzania,Community,vwc,none,
functional,Arusha,Arusha,Usa River,"36.8532868,-3.364118584",spring,0,350,2010,enough,02073098173WP45,good,gravity,unknown,unknown,Government of Tanzania,Community,wua,none,
functional,Arusha,Arusha,Usa River,"36.84695171,-3.369778401",spring,0,500,2012,insufficient,02073098173WP44,good,gravity,unknown,unknown,Save the rain USA,Save the rain,wua,none,
functional,Arusha,Arusha,Usa River,"36.84689496,-3.369581498",rainwater harvesting,0,500,2012,insufficient,02073098173WP43,good,gravity,unknown,unknown,Save the rain USA,Save the rain,wua,none,
functional,Arusha,Arusha,Usa River,"36.84706159,-3.369217001",rainwater harvesting,0,210,2012,insufficient,02073098173WP41,good,gravity,unknown,unknown,Save the rain USA,Save the rain,wua,none,
functional,Arusha,Arusha,Usa River,"36.84681264,-3.36932707",rainwater harvesting,0,400,2012,insufficient,02073098173WP40,good,gravity,unknown,unknown,Save the rain USA,Save the rain,wua,none,
functional,Arusha,Arusha,Usa River,"36.84654116,-3.369389836",rainwater harvesting,0,400,2012,insufficient,02073098173WP37,good,gravity,unknown,unknown,Save the rain USA,Save the rain,wua,none,
functional,Arusha,Meru,Usa River,"36.84652179,-3.370058021",spring,0,350,2006,enough,02073098173WP35,good,gravity,unknown,unknown,Killflora,Killflora /Community,wua,none,
functional,Arusha,Meru,Usa River,"36.85538301,-3.363870041",rainwater harvesting,0,450,2012,insufficient,02073098173WP34,good,gravity,unknown,unknown,Save the rain USA,Save the rain,wua,none,
functional,Arusha,Meru,Usa River,"36.8556171,-3.364062713",rainwater harvesting,0,450,2012,insufficient,02073098173WP33,good,gravity,unknown,unknown,Save the rain USA,Save the rain,wua,none,
functional,Arusha,Meru,Usa River,"36.84108622,-3.383095436",spring,0,98,2009,enough,02073098173WP14,good,gravity,unknown,unknown,Government of Tanzania,Community,vwc,none,
functional,Arusha,Meru,Usa River,"36.85722777,-3.357022545",spring,0,86,2005,enough,02073098173WP31,good,gravity,unknown,unknown,Killflora,Killflora/ Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.85738433,-3.356036728",spring,0,149,2005,enough,02073098173WP30,good,gravity,unknown,unknown,Killflora,Killflora/ Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.85638339,-3.353321601",spring,0,156,2005,enough,02073098173WP29,good,gravity,unknown,unknown,Killflora,Killflora/ Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.85627315,-3.353964115",spring,0,230,2005,enough,02073098173WP28,good,gravity,unknown,unknown,Killflora,Killflora/ Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.85646676,-3.356455135",spring,0,68,2005,enough,02073098173WP27,good,gravity,unknown,unknown,Killflora,Killflora /Community,water authority,none,
