Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Dar es salaam,Kinondoni,Wazo,"39.17224013,-6.705049356",river/lake,100,267,2010,insufficient,07012020164WP21,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.17059708,-6.672765708",river/lake,50,2698,2010,enough,07012020164WP01,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.16975915,-6.672663842",borehole,0,2152,2000,enough,07012020164WP02,salty,submersible,unknown,never pay,0,0,parastatal,none
functional,Dar es salaam,Kinondoni,Wazo,"39.16843964,-6.672348603",borehole,0,1114,2000,enough,07012020164WP03,salty,submersible,unknown,never pay,0,0,parastatal,none
functional,Dar es salaam,Kinondoni,Wazo,"39.17280613,-6.671868206",river/lake,50,3589,2000,enough,07012020164WP04,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.17385502,-6.672517569",river/lake,50,2954,2000,enough,07012020164WP05,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.15608471,-6.673420129",river/lake,50,3568,2000,insufficient,07012020164WP06,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.13603616,-6.685280299",river/lake,100,2353,2010,insufficient,07012020164WP07,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.13443513,-6.700662783",river/lake,100,256,2010,insufficient,07012020164WP08,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.13257435,-6.700916655",river/lake,100,320,2010,insufficient,07012020164WP09,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.13195124,-6.688805563",river/lake,100,258,2010,insufficient,07012020164WP10,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.13323662,-6.684847292",river/lake,100,356,2010,enough,07012020164WP11,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.13990249,-6.688387688",river/lake,100,296,2010,enough,07012020164WP12,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.17408293,-6.69633255",river/lake,100,563,2010,insufficient,07012020164WP14,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.17428201,-6.697106538",river/lake,100,259,2010,insufficient,07012020164WP15,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.17470843,-6.700018712",river/lake,100,361,2010,insufficient,07012020164WP16,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.17314979,-6.703163654",river/lake,100,310,2010,insufficient,07012020164WP17,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.17597914,-6.704230089",river/lake,100,251,2010,insufficient,07012020164WP18,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.17544117,-6.705057494",river/lake,100,239,2010,insufficient,07012020164WP19,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Kinondoni,Wazo,"39.17284096,-6.705054071",river/lake,100,283,2010,insufficient,07012020164WP20,good,submersible,unknown,per bucket,0,0,vwc,none
functional,Dar es salaam,Temeke,Vijibweni,"39.31023416,-6.869574222",borehole,30,1,2010,enough,07032021021WP01,salty,submersible,unknown,per bucket,0,0,wug,none
functional,Dar es salaam,Temeke,Vijibweni,"39.32787134,-6.863763746",borehole,0,120,1980,enough,07032021021WP03,good,mono,unknown,per bucket,0,0,private operator,none
functional,Dar es salaam,Temeke,Vijibweni,"39.32276137,-6.857523719",borehole,20,33,2000,seasonal,07032021021WP07,good,submersible,unknown,per bucket,0,0,other - school,none
functional,Dar es salaam,Temeke,Vijibweni,"39.31874843,-6.859314891",borehole,20,50,2000,enough,07032021021WP08,good,submersible,unknown,per bucket,0,0,other - school,none
functional,Dar es salaam,Temeke,Vijibweni,"39.32230666,-6.850262015",borehole,0,120,2010,enough,07032021021WP10,good,submersible,unknown,never pay,0,0,other - school,none
functional,Dar es salaam,Temeke,Vijibweni,"39.32307892,-6.850647508",borehole,0,89,2010,enough,07032021021WP11,good,submersible,unknown,never pay,0,0,other - school,none
functional,Dar es salaam,Temeke,Somangila,"39.40961317,-6.876340098",shallow well,0,200,2000,enough,07032021051WP01,good,nira/tanira,unknown,never pay,0,0,other - school,none
functional,Dar es salaam,Temeke,Somangila,"39.40782335,-6.873879975",shallow well,0,106,2000,enough,07032021051WP02,good,nira/tanira,unknown,never pay,0,0,other - school,none
functional,Dar es salaam,Temeke,Somangila,"39.40721626,-6.886785391",shallow well,0,1,2000,enough,07032021051WP03,good,nira/tanira,unknown,never pay,0,0,other - school,none
functional,Dar es salaam,Temeke,Somangila,"39.4353604,-6.882402841",borehole,0,160,2010,enough,07032021051WP25,salty,mono,unknown,never pay,0,0,vwc,none
functional,Dar es salaam,Temeke,Somangila,"39.43543291,-6.88612125",borehole,0,140,2000,seasonal,07032021051WP26,good,india mark ii,unknown,never pay,0,0,parastatal,none
functional,Dar es salaam,Ilala,Pugu,"39.11951676,-6.93072159",borehole,50,250,2000,insufficient,07022019023WP01_41,salty,submersible,unknown,per bucket,0,0,wug,none
functional,Dar es salaam,Ilala,Pugu,"39.11519375,-6.89114278",borehole,50,50,2010,enough,07022019023WP53_93,good,submersible,unknown,per bucket,0,0,private operator,none
functional,Dar es salaam,Ilala,Pugu,"39.12828356,-6.876117645",borehole,50,350,2000,enough,07022019023WP74_113,salty,india mark ii,unknown,per bucket,0,0,wug,none
functional,Dar es salaam,Ilala,Pugu,"39.13200721,-6.86610433",borehole,50,350,2010,enough,07022019023WP76_115,good,submersible,unknown,per bucket,0,0,private operator,none
functional,Dar es salaam,Ilala,Pugu,"39.12406441,-6.877152545",borehole,50,250,2010,enough,07022019023WP72_111,good,submersible,unknown,per bucket,0,0,wug,none
functional,Dar es salaam,Ilala,Pugu,"39.12643529,-6.882813138",borehole,50,250,2010,enough,07022019023WP70_109,salty,submersible,unknown,per bucket,0,0,wug,none
functional,Dar es salaam,Ilala,Pugu,"39.12168457,-6.888495068",borehole,50,159,2010,enough,07022019023WP68_107,good,submersible,unknown,per bucket,0,0,wug,none
functional,Dar es salaam,Ilala,Pugu,"39.1248551,-6.884587204",borehole,50,200,2010,enough,07022019023WP67_106,good,submersible,unknown,per bucket,0,0,wug,none
functional,Dar es salaam,Ilala,Pugu,"39.12316481,-6.886802332",borehole,50,250,2010,enough,07022019023WP66_105,good,submersible,unknown,per bucket,0,0,wug,none
functional,Dar es salaam,Ilala,Pugu,"39.12155753,-6.88793773",borehole,50,150,2010,enough,07022019023WP65_104,good,submersible,unknown,per bucket,0,0,private operator,none
functional,Dar es salaam,Ilala,Pugu,"39.12033011,-6.88949509",shallow well,100,150,2010,enough,07022019023WP64_103,good,submersible,unknown,per bucket,0,0,private operator,none
functional,Dar es salaam,Ilala,Pugu,"39.11954001,-6.884644136",borehole,50,100,2010,enough,07022019023WP63_102,salty,submersible,unknown,per bucket,0,0,wug,none
