Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Dodoma,Dodoma Urban,Zuzu,"35.59864465,-6.214358115",rainwater harvesting,0,0,unknown,insufficient,01052003241WP19,good,gravity,unknown,never pay,World Bank,Commu,vwc,none
functional,Dodoma,Dodoma Urban,Zuzu,"35.57966364,-6.211591949",shallow well,0,0,unknown,insufficient,01052003241WP15,good,india mark ii,unknown,never pay,Menon,Commu,vwc,none
functional,Dodoma,Dodoma Urban,Zuzu,"35.5707338,-6.217009484",shallow well,0,0,unknown,insufficient,01052003241WP13,good,nira/tanira,unknown,never pay,World Bank,Commu,vwc,none
functional,Dodoma,Dodoma Urban,Zuzu,"35.63008824,-6.17191876",borehole,0,0,unknown,enough,01052003241WP12,salty,mono,unknown,per bucket,Menon,Commu,vwc,none
functional,Dodoma,Dodoma Urban,Zuzu,"35.63842592,-6.171669637",borehole,0,0,unknown,insufficient,01052003241WP10,salty,mono,unknown,per bucket,Menon,Commu,vwc,none
functional,Dodoma,Dodoma Urban,Zuzu,"35.64454166,-6.168193888",borehole,0,0,unknown,enough,01052003241WP08,salty,mono,unknown,per bucket,Menon,Commu,vwc,none
functional,Dodoma,Dodoma Urban,Zuzu,"35.63961312,-6.168029902",borehole,0,0,unknown,enough,01052003241WP07,salty,mono,unknown,per bucket,Menon,Commu,vwc,none
functional,Dodoma,Dodoma Urban,Zuzu,"35.63937336,-6.165991247",shallow well,0,0,unknown,enough,01052003241WP06,good,india mark ii,unknown,per bucket,Tanza,Tanza,vwc,none
functional,Dodoma,Dodoma Urban,Zuzu,"35.63948438,-6.165111774",borehole,0,0,unknown,enough,01052003241WP05,salty,mono,unknown,per bucket,Menon,Commu,vwc,none
functional,Dodoma,Dodoma Urban,Zuzu,"35.6376363,-6.163031621",borehole,0,0,unknown,enough,01052003241WP04,salty,mono,unknown,monthly,Commu,Commu,vwc,none
functional,Dodoma,Dodoma Urban,Zuzu,"35.64182037,-6.157987635",borehole,0,0,unknown,enough,01052003241WP03,salty,mono,unknown,per bucket,Menon,Commu,vwc,none
functional,Dodoma,Dodoma Urban,Zuzu,"35.63593035,-6.15711701",borehole,0,0,unknown,enough,01052003241WP02,salty,mono,unknown,per bucket,Menon,Commu,vwc,none
functional,Dodoma,Bahi,Zanka,"35.92287766,-5.787470035",spring,0,0,unknown,enough,01063101471WP04,good,gravity,unknown,never pay,DCT,Gove,vwc,tap broken
functional,Dodoma,Bahi,Zanka,"35.92942914,-5.787050667",spring,0,0,unknown,enough,01063101471WP01,good,gravity,unknown,never pay,,Gove,vwc,pump broken
functional,Dodoma,Bahi,Zanka,"35.91196769,-5.793625588",spring,0,0,unknown,enough,01063101471WP09,good,gravity,unknown,never pay,DCT,Gove,vwc,none
functional,Dodoma,Bahi,Zanka,"35.90131535,-5.794443148",spring,0,0,unknown,enough,01063101471WP10,good,gravity,unknown,never pay,DCT,Gove,vwc,under construction
functional,Dodoma,Bahi,Zanka,"35.89663154,-5.80362312",spring,0,0,unknown,enough,01063101471WP11,good,gravity,unknown,never pay,DCT,Gove,vwc,tank out of use
