Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Geita,Bukombe,Uyovu,"31.52581825,-3.335802709",rainwater harvesting,0,0,unknown,seasonal,1705309013WP05,good,gravity,unknown,unknown,Rural water Supply and Sanita,DWE,parastatal,none
functional,Geita,Bukombe,Uyovu,"31.52575842,-3.336134655",borehole,0,0,unknown,insufficient,1705309013WP04,good,gravity,unknown,unknown,Rural water Supply and Sanita,DWE,parastatal,none
functional,Geita,Bukombe,Uyovu,"31.532581,-3.329486703",shallow well,0,0,unknown,enough,1705309013WP06,good,nira/tanira,unknown,unknown,Rural water Supply and Sanitat,DWE,wug,none
functional,Geita,Bukombe,Uyovu,"31.53013105,-3.341455753",shallow well,0,0,unknown,enough,1705309013WP09,good,nira/tanira,unknown,unknown,Rural water Supply and Sanita,DWE,wug,none
functional,Geita,Bukombe,Uyovu,"31.52391914,-3.335381859",shallow well,0,0,unknown,enough,1705309013WP10,good,swn 80,unknown,unknown,Rural water Supply and Sanita,DWE,parastatal,none
functional,Geita,Bukombe,Uyovu,"31.52581435,-3.33353921",rainwater harvesting,0,0,unknown,seasonal,1705309013WP11,good,gravity,unknown,unknown,Rural water Supply and Sanita,DWE,parastatal,none
functional,Geita,Bukombe,Uyovu,"31.51646353,-3.323254725",shallow well,0,0,unknown,insufficient,1705309013WP14,good,nira/tanira,unknown,unknown,Rural water Supply and Sanita,DWE,wug,none
functional,Geita,Bukombe,Uyovu,"31.48527906,-3.303802628",shallow well,0,0,unknown,enough,1705309013WP16,milky,nira/tanira,unknown,unknown,TASAF,DWE,wug,none
functional,Geita,Bukombe,Uyovu,"31.50032041,-3.328253222",shallow well,0,0,unknown,enough,1705309013WP17,good,nira/tanira,unknown,unknown,Rural water Supply and Sanita,DWE,wug,none
functional,Geita,Bukombe,Uyovu,"31.52399072,-3.345132199",borehole,0,0,unknown,enough,1705309013WP23,good,gravity,unknown,per bucket,Rural water Supply and Sanita,DWE,vwc,none
functional,Geita,Bukombe,Uyovu,"31.50577413,-3.31346664",shallow well,0,0,unknown,enough,1705309013WP20,good,nira/tanira,unknown,per bucket,TASAF,DWE,wug,none
functional,Geita,Bukombe,Uyovu,"31.5154462,-3.335619863",shallow well,0,0,unknown,enough,1705309013WP19,good,nira/tanira,unknown,unknown,TASAF,DWE,wug,none
functional,Geita,Bukombe,Ushirombo,"31.929039,-3.457224298",shallow well,0,0,unknown,enough,170530906WP01,good,swn 80,unknown,unknown,Rural water Supply and Sanitat,DWE,vwc,none
functional,Geita,Bukombe,Ushirombo,"31.93769818,-3.452820342",shallow well,0,0,unknown,enough,170530906WP04,good,nira/tanira,unknown,unknown,Rural water Supply and Sanitat,DWE,vwc,none
functional,Geita,Bukombe,Ushirombo,"31.93146207,-3.476924356",shallow well,0,0,unknown,enough,170530906WP06,good,nira/tanira,unknown,unknown,Rural water Supply and Sanitat,DWE,wug,none
functional,Geita,Bukombe,Ushirombo,"31.9231724,-3.477988246",shallow well,0,0,unknown,enough,170530906WP07,good,nira/tanira,unknown,unknown,Rural water Supply and Sanitat,DWE,vwc,none
functional,Geita,Geita,Ushirombo,"31.94132704,-3.500428491",shallow well,0,0,unknown,enough,170530906WP10,good,nira/tanira,unknown,unknown,Rural water Supply and Sanitat,DWE,parastatal,none
functional,Geita,Geita,Ushirombo,"31.93096599,-3.537228384",shallow well,0,0,unknown,insufficient,170530906WP13,salty,nira/tanira,unknown,unknown,Rural water Supply and Sanitat,DWE,parastatal,none
