Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Iringa,Iringa Rural,Wasa,"35.22724491,-8.123728949",spring,0,770,1996,enough,1101301615wp08_535,good,gravity,unknown,never pay,Kuamu,Kuamu,other,tap broken
functional,Iringa,Iringa Rural,Wasa,"35.24637769,-8.111614318",spring,0,769,2004,enough,1101301615wp16_541,good,gravity,unknown,never pay,Kuamu,Kuamu,vwc,none
functional,Iringa,Iringa Rural,Wasa,"35.2840284,-8.058346934",spring,0,525,1996,dry,1101301615wp30_555,good,gravity,unknown,never pay,Kuamu,Kuamu,vwc,none
functional,Iringa,Iringa Rural,Wasa,"35.28265386,-8.061654477",spring,0,525,1996,enough,1101301615wp29_554,good,gravity,unknown,never pay,Kuamu,Kuamu,vwc,tap broken
functional,Iringa,Iringa Rural,Wasa,"35.22998133,-8.122370873",spring,0,580,1996,enough,1101301615wp03_530,good,gravity,unknown,never pay,Kuamu,Kuamu,other,none
functional,Iringa,Iringa Rural,Wasa,"35.22436586,-8.121892702",spring,0,490,1996,enough,1101301615wp04_531,good,gravity,unknown,never pay,Kuamu,Kuamu,other,none
functional,Iringa,Iringa Rural,Wasa,"35.21286482,-8.123063671",spring,0,450,1996,enough,1101301615wp05_532,good,gravity,unknown,never pay,Kuamu,Kuamu,other,tap broken
functional,Iringa,Iringa Rural,Wasa,"35.21346316,-8.122777911",spring,0,450,2007,enough,1101301615wp06_533,good,gravity,unknown,never pay,Roman,Roman,other,none
functional,Iringa,Iringa Rural,Wasa,"35.2828653,-8.072581403",spring,0,630,1996,enough,1101301615wp28_553,good,gravity,unknown,never pay,Kuamu,Kuamu,vwc,none
functional,Iringa,Iringa Rural,Wasa,"35.27278045,-8.080682504",spring,0,595,1996,enough,1101301615wp27_552,good,gravity,unknown,never pay,Kuamu,Kuamu,vwc,none
functional,Iringa,Iringa Rural,Wasa,"35.27239401,-8.079511966",spring,0,485,1996,enough,1101301615wp26_551,good,gravity,unknown,never pay,Kuamu,Kuamu,vwc,none
