Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Kagera,Kyerwa,Songambele,"30.84144575,-1.522777025",shallow well,0,0,unknown,enough,18013074311WP32,salty,india mark ii,unknown,never pay,COCEN,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.84028329,-1.538371811",spring,0,0,unknown,enough,18013074311WP29,good,gravity,unknown,never pay,Hesawa,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.84327019,-1.541231777",spring,0,0,unknown,enough,18013074311WP28,good,gravity,unknown,never pay,Hesawa,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.84711741,-1.546543009",spring,0,0,unknown,enough,18013074311WP27,good,gravity,unknown,never pay,Hesawa,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.8499628,-1.545668089",spring,0,0,unknown,enough,18013074311WP26,good,gravity,unknown,never pay,Hesawa,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.85489538,-1.568888904",spring,0,0,unknown,insufficient,18013074311WP25,good,gravity,unknown,never pay,Hesawa,DWE,vwc,tap broken
functional,Kagera,Kyerwa,Songambele,"30.85333788,-1.560968871",spring,0,0,unknown,enough,18013074311WP24,good,gravity,unknown,never pay,Hesawa,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.85476495,-1.530253043",spring,0,0,unknown,insufficient,18013074311WP18,good,gravity,unknown,never pay,Hesawa,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.8597579,-1.52791246",spring,0,0,unknown,insufficient,18013074311WP17,good,gravity,unknown,never pay,Hesawa,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.87056119,-1.525054065",spring,0,0,unknown,enough,18013074311WP15,good,gravity,unknown,never pay,Hesawa,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.88213762,-1.536000324",shallow well,0,0,unknown,enough,18013074311WP13,good,india mark ii,unknown,annually,COCEN,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.88860902,-1.563253995",shallow well,0,0,unknown,enough,18013074311WP11,good,india mark ii,unknown,annually,COCEN,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.90123854,-1.573487634",spring,0,0,unknown,enough,18013074311WP10,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.88725672,-1.571516362",spring,0,0,unknown,insufficient,18013074311WP06,good,gravity,unknown,annually,KKKT,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.88423909,-1.565243926",spring,0,0,unknown,enough,18013074311WP05,good,gravity,unknown,annually,KKKT,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.88105518,-1.559074469",spring,0,0,unknown,enough,18013074311WP04,good,gravity,unknown,annually,KKKT,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.87875186,-1.55420645",spring,0,0,unknown,enough,18013074311WP03,good,gravity,unknown,annually,KKKT,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.87655918,-1.547021513",spring,0,0,unknown,enough,18013074311WP02,good,gravity,unknown,annually,KKKT,DWE,vwc,none
functional,Kagera,Kyerwa,Songambele,"30.87391184,-1.540609266",spring,0,0,unknown,enough,18013074311WP01,good,gravity,unknown,annually,KKKT,DWE,vwc,none
functional,Kagera,Kyerwa,Rwabwere,"30.90379111,-1.543770152",shallow well,0,0,unknown,enough,18013074061WP19,good,nira/tanira,unknown,never pay,OXFARM,DWE,vwc,none
functional,Kagera,Kyerwa,Rwabwere,"30.91458985,-1.502354433",rainwater harvesting,0,0,unknown,seasonal,18013074061WP24,good,gravity,unknown,never pay,Hesawa,DWE,other,none
functional,Kagera,Kyerwa,Rwabwere,"30.90508535,-1.505506275",rainwater harvesting,0,0,unknown,seasonal,18013074061WP22,good,gravity,unknown,never pay,DRDP NGO,DWE,other,none
functional,Kagera,Kyerwa,Rwabwere,"30.93946133,-1.507650387",rainwater harvesting,0,0,unknown,seasonal,18013074061WP05,good,gravity,unknown,never pay,Hesawa,DWE,other,none
functional,Kagera,Kyerwa,Rwabwere,"30.92307695,-1.507326326",shallow well,0,0,unknown,enough,18013074061WP06,good,india mark ii,unknown,annually,COCEN,DWE,vwc,none
functional,Kagera,Kyerwa,Rwabwere,"30.91521375,-1.540737185",shallow well,0,0,unknown,enough,18013074061WP08,salty,india mark ii,unknown,other,COCEN,DWE,vwc,none
functional,Kagera,Kyerwa,Rwabwere,"30.91964815,-1.473929901",rainwater harvesting,0,0,unknown,seasonal,18013074061WP21,good,gravity,unknown,never pay,Government of Tanzania,DWE,other,none
functional,Kagera,Kyerwa,Rwabwere,"30.91536814,-1.554810241",spring,0,0,unknown,enough,18013074061WP10,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,tap broken
functional,Kagera,Kyerwa,Rwabwere,"30.90548983,-1.54725673",shallow well,0,0,unknown,enough,18013074061WP18,good,nira/tanira,unknown,never pay,OXFARM,DWE,vwc,none
functional,Kagera,Kyerwa,Rwabwere,"30.91164469,-1.544705129",spring,0,0,unknown,insufficient,18013074061WP17,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Kagera,Kyerwa,Rwabwere,"30.90964638,-1.550451808",rainwater harvesting,0,0,unknown,seasonal,18013074061WP16,good,gravity,unknown,never pay,Hesawa,DWE,vwc,none
functional,Kagera,Kyerwa,Rwabwere,"30.98080975,-1.541294764",rainwater harvesting,0,0,unknown,seasonal,18013074061WP01,good,other,unknown,never pay,World Vision,Artisan,other,none
functional,Kagera,Kyerwa,Rwabwere,"30.93941338,-1.541260843",shallow well,0,0,unknown,enough,18013074061WP02,salty,india mark ii,unknown,never pay,COCEN,DWE,vwc,none
functional,Kagera,Kyerwa,Rwabwere,"30.91683872,-1.503680807",rainwater harvesting,0,0,unknown,seasonal,18013074061WP25,good,gravity,unknown,never pay,World Vision,DWE,other,none
functional,Kagera,Kyerwa,Rwabwere,"30.91381033,-1.550091922",spring,0,0,unknown,enough,18013074061WP12,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Kagera,Kyerwa,Rwabwere,"30.91795944,-1.503809678",rainwater harvesting,0,0,unknown,seasonal,18013074061WP07,good,gravity,unknown,never pay,World Vision,Artisan,company,none
functional,Kagera,Biharamulo,Ruziba,"31.31611178,-2.617602375",spring,0,0,unknown,enough,18043075013WP16_16,good,gravity,unknown,never pay,European Union,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.35663278,-2.565079931",shallow well,0,0,unknown,enough,18043075013WP17_17,good,nira/tanira,unknown,never pay,National Rural,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.34562305,-2.596320473",shallow well,0,0,unknown,enough,18043075013WP21_21,good,nira/tanira,unknown,never pay,National Rural,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.34298932,-2.608873909",spring,0,0,unknown,enough,18043075013WP22_22,good,gravity,unknown,never pay,National Rural,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.33086823,-2.619823339",shallow well,0,0,unknown,enough,18043075013WP24_24,good,nira/tanira,unknown,never pay,HESAWA,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.35484228,-2.583605854",shallow well,0,0,unknown,enough,18043075013WP19_19,good,nira/tanira,unknown,never pay,National Rural (WB),DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.34724104,-2.592794575",shallow well,0,0,unknown,enough,18043075013WP20_20,fluoride,nira/tanira,unknown,never pay,National Rural,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.32210921,-2.605919619",spring,0,0,unknown,enough,18043075013WP14_14,good,gravity,unknown,never pay,National Rural,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.32051876,-2.605686203",spring,0,0,unknown,enough,18043075013WP13_13,good,gravity,unknown,never pay,National Rural,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.2979637,-2.590182718",spring,0,0,unknown,enough,18043075013WP11_11,good,gravity,unknown,never pay,National Rural and HFA,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.29642947,-2.589892757",spring,0,0,unknown,enough,18043075013WP10_10,good,gravity,unknown,never pay,National Rural and HFA,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.29565765,-2.588454147",spring,0,0,unknown,enough,18043075013WP09_9,good,gravity,unknown,never pay,National Rural and HFA,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.29531014,-2.587267384",spring,0,0,unknown,enough,18043075013WP08_8,good,gravity,unknown,never pay,National Rural and HFA,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.29618661,-2.587247851",spring,0,0,unknown,enough,18043075013WP07_7,good,gravity,unknown,never pay,National Rural and HFA,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.29599158,-2.586645379",spring,0,0,unknown,enough,18043075013WP05_5,good,gravity,unknown,never pay,National Rural and HFA,DWE,vwc,tap broken
functional,Kagera,Biharamulo,Ruziba,"31.29593398,-2.586480531",spring,0,0,unknown,enough,18043075013WP04_4,good,gravity,unknown,never pay,National Rural and HFA,DWE,vwc,tap broken
functional,Kagera,Biharamulo,Ruziba,"31.29441476,-2.586898231",spring,0,0,unknown,enough,18043075013WP01_1,good,gravity,unknown,never pay,National Rural and HFA,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.29434857,-2.586957476",spring,0,0,unknown,enough,18043075013WP02_2,good,gravity,unknown,never pay,National Rural and HFA,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.32645564,-2.590232758",spring,0,0,unknown,enough,18043075013WP12_12,good,gravity,unknown,never pay,National Rural and HFA,DWE,vwc,none
functional,Kagera,Biharamulo,Ruziba,"31.29599994,-2.586453979",spring,0,0,unknown,enough,18043075013WP03_3,good,gravity,unknown,never pay,National Rural and HFA,DWE,vwc,none
functional,Kagera,Kyerwa,Rutunguru,"30.68075663,-1.226753147",spring,0,0,unknown,enough,18013074361WP02,good,gravity,unknown,never pay,Isingiro ho,Artisan,vwc,none
functional,Kagera,Kyerwa,Rutunguru,"30.69655981,-1.223542699",shallow well,0,0,unknown,enough,18013074361WP03,good,nira/tanira,unknown,never pay,Isingiro ho,Artisan,vwc,none
functional,Kagera,Karagwe,Rutunguru,"30.71819391,-1.225725287",spring,0,0,unknown,enough,18013074361WP04,good,gravity,unknown,never pay,Isingiro ho,Artisan,vwc,none
functional,Kagera,Karagwe,Rutunguru,"30.69531361,-1.217743446",shallow well,0,0,unknown,enough,18013074361WP05,good,nira/tanira,unknown,never pay,Isingiro ho,DWE,vwc,none
functional,Kagera,Karagwe,Rutunguru,"30.67303881,-1.233668535",spring,0,0,unknown,enough,18013074361WP06,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Kagera,Karagwe,Rutunguru,"30.67023312,-1.232196386",spring,0,0,unknown,enough,18013074361WP07,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Kagera,Karagwe,Rutunguru,"30.67087895,-1.235925506",spring,0,0,unknown,enough,18013074361WP08,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Kagera,Karagwe,Rutunguru,"30.67011746,-1.225324688",spring,0,0,unknown,enough,18013074361WP10,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Kagera,Karagwe,Rutunguru,"30.67109317,-1.222541645",spring,0,0,unknown,enough,18013074361WP11,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Kagera,Karagwe,Rutunguru,"30.67527348,-1.210899387",spring,0,0,unknown,enough,18013074361WP13,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Kagera,Karagwe,Rutunguru,"30.67471896,-1.204584773",shallow well,0,0,unknown,enough,18013074361WP14,good,nira/tanira,unknown,never pay,Isingiro ho,DWE,vwc,none
functional,Kagera,Karagwe,Rutunguru,"30.67730303,-1.189474752",shallow well,0,0,unknown,enough,18013074361WP15,good,nira/tanira,unknown,never pay,Isingiro ho,DWE,vwc,none
functional,Kagera,Karagwe,Rutunguru,"30.66109646,-1.2436321",shallow well,0,0,unknown,enough,18013074361WP18,good,nira/tanira,unknown,never pay,Isingiro ho,DWE,vwc,none
functional,Kagera,Kyerwa,Rutunguru,"30.68873079,-1.225332246",spring,0,0,unknown,enough,18013074361WP01,good,gravity,unknown,never pay,Isingiro ho,Artisan,vwc,none
functional,Kagera,Ngara,Rusumo,"30.77828077,-2.489685844",shallow well,0,0,unknown,enough,18307805021WP04_118,good,nira/tanira,unknown,never pay,OXFAM,OXFAM,vwc,none
functional,Kagera,Ngara,Rusumo,"30.81677161,-2.448231723",spring,0,0,unknown,enough,18307805011WP35_96,good,gravity,unknown,never pay,MIGRATION,VWC,parastatal,none
functional,Kagera,Ngara,Rusumo,"30.78780319,-2.394125029",spring,0,0,unknown,enough,18307805011WP38_99,good,gravity,unknown,never pay,NDRDP,DED,vwc,tap broken
functional,Kagera,Ngara,Rusumo,"30.78864143,-2.391734559",spring,0,0,unknown,enough,18307805011WP39_100,good,gravity,unknown,never pay,NDRDP,DED,vwc,tap broken
functional,Kagera,Ngara,Rusumo,"30.782723,-2.388765686",spring,0,0,unknown,enough,18307805011WP40_101,good,gravity,unknown,never pay,NDRDP,DED,vwc,none
functional,Kagera,Ngara,Rusumo,"30.80540547,-2.469379056",spring,0,0,unknown,insufficient,18307805011WP51_112,good,gravity,unknown,never pay,OXFAM,OXFAM,vwc,none
functional,Kagera,Ngara,Rusumo,"30.79799516,-2.466678756",spring,0,0,unknown,enough,18307805011WP52_113,good,gravity,unknown,never pay,OXFAM,OXFAM,vwc,none
functional,Kagera,Ngara,Rusumo,"30.78966815,-2.470617659",spring,0,0,unknown,insufficient,18307805021WP01_115,good,gravity,unknown,never pay,Government of Tanzania,Central government,vwc,none
functional,Kagera,Ngara,Rusumo,"30.78542705,-2.47765326",spring,0,0,unknown,insufficient,18307805021WP02_116,good,gravity,unknown,never pay,Government of Tanzania,Central government,vwc,none
functional,Kagera,Ngara,Rusumo,"30.78487206,-2.484262805",spring,0,0,unknown,enough,18307805021WP03_117,good,gravity,unknown,never pay,Government of Tanzania,Central government,vwc,none
functional,Kagera,Ngara,Rusumo,"30.81318919,-2.443440599",spring,0,0,unknown,enough,18307805011WP34_95,good,gravity,unknown,monthly,NDRDP,DED,vwc,none
functional,Kagera,Ngara,Rusumo,"30.76214371,-2.521152305",shallow well,0,0,unknown,insufficient,18307805021WP05_119,good,nira/tanira,unknown,never pay,OXFAM,OXFAM,vwc,none
functional,Kagera,Ngara,Rusumo,"30.7575028,-2.542049068",shallow well,0,0,unknown,enough,18307805021WP06_120,good,nira/tanira,unknown,never pay,OXFAM,OXFAM,vwc,none
functional,Kagera,Ngara,Rusumo,"30.75312301,-2.546707401",shallow well,0,0,unknown,insufficient,18307805021WP07_121,good,nira/tanira,unknown,never pay,OXFAM,OXFAM,vwc,none
functional,Kagera,Ngara,Rusumo,"30.75176889,-2.549228905",spring,0,0,unknown,enough,18307805021WP08_122,good,gravity,unknown,never pay,Government of Tanzania,Central government,vwc,none
functional,Kagera,Ngara,Rusumo,"30.74692753,-2.555319063",spring,0,0,unknown,enough,18307805021WP09_123,good,gravity,unknown,never pay,Government of Tanzania,Central government,vwc,none
functional,Kagera,Ngara,Rusumo,"30.74913124,-2.517650762",spring,0,0,unknown,enough,18307805021WP12_126,good,gravity,unknown,never pay,DANIDA,DWE,vwc,none
functional,Kagera,Ngara,Rusumo,"30.7954797,-2.453092673",spring,0,0,unknown,insufficient,18307805011WP31_92,good,gravity,unknown,monthly,NDRDP,NDRDP,vwc,none
functional,Kagera,Ngara,Rusumo,"30.79948365,-2.457702429",spring,0,0,unknown,enough,18307805011WP33_94,good,gravity,unknown,unknown,Private individuals,VWC,private operator,none
