Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Katavi,Mlele,Utende,"31.9862795,-6.733208767",borehole,3000,350,1988,enough,15013079081WP23_159,good,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
functional,Katavi,Mlele,Utende,"31.98360222,-6.696894749",borehole,2000,80,1988,enough,15013079081WP13_149,salty,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
functional,Katavi,Mlele,Utende,"31.98985526,-6.733893136",borehole,3000,550,1988,enough,15013079081WP22_158,good,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
functional,Katavi,Mlele,Utende,"31.98931493,-6.730353717",borehole,3000,600,1988,enough,15013079081WP21_157,good,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
functional,Katavi,Mlele,Utende,"32.0103102,-6.646681489",borehole,5000,170,1988,enough,15013079081WP09_145,good,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
functional,Katavi,Mlele,Utende,"31.99709108,-6.657283409",borehole,10000,300,1988,enough,15013079081WP02_138,good,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
functional,Katavi,Mlele,Utende,"31.99315667,-6.660623336",borehole,10000,175,1988,enough,15013079081WP03_139,good,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
functional,Katavi,Mlele,Utende,"31.99235879,-6.662705144",borehole,10000,250,1988,enough,15013079081WP04_140,salty,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
functional,Katavi,Mlele,Utende,"32.00182263,-6.651849569",borehole,5000,175,1988,enough,15013079081WP06_142,good,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
functional,Katavi,Mlele,Utende,"32.0068826,-6.650672521",borehole,5000,230,1988,enough,15013079081WP08_144,good,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
functional,Katavi,Mlele,Utende,"32.00691005,-6.646895447",borehole,5000,100,1988,enough,15013079081WP10_146,good,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
functional,Katavi,Mlele,Utende,"32.00137953,-6.649805122",borehole,5000,275,1988,insufficient,15013079081WP12_148,good,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
functional,Katavi,Mlele,Utende,"31.9960509,-6.659726391",borehole,10000,250,1988,enough,15013079081WP05_141,good,india mark ii,unknown,annually,RUDEP,Distri,vwc,none
