Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Kigoma,Uvinza,Uvinza,"30.29325991,-4.971796699",shallow well,1000,500,2005,enough,1603302106WP18,good,nira/tanira,unknown,annually,Government of Tanzania,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.44404583,-5.046389116",shallow well,0,400,2011,insufficient,1603302106WP44,milky,nira/tanira,unknown,unknown,TASAF,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.38743923,-5.105780556",river/lake,0,300,1997,seasonal,1603302106WP35,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.38723091,-5.108145667",river/lake,0,400,1997,insufficient,1603302106WP32,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.3941034,-5.105458557",river/lake,0,600,1997,insufficient,1603302106WP26,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.28976544,-4.977023709",shallow well,1000,350,2005,enough,1603302106WP22,good,nira/tanira,unknown,annually,Government of Tanzania,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.29195921,-4.974209002",shallow well,1000,250,2005,enough,1603302106WP19,good,nira/tanira,unknown,annually,Government of Tanzania,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.29402215,-4.975553588",borehole,1000,250,1990,enough,1603302106WP17,good,swn 80,unknown,annually,NORAD,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.29586836,-4.983667536",shallow well,1000,250,1990,enough,1603302106WP12,good,nira/tanira,unknown,annually,NORAD,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.29024729,-4.980903122",shallow well,1000,650,2005,enough,1603302106WP11,good,nira/tanira,unknown,annually,Government of Tanzania,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.29085162,-4.982630581",shallow well,100,450,1990,enough,1603302106WP10,good,nira/tanira,unknown,annually,NORAD,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.29495985,-4.987975985",borehole,1000,750,1990,enough,1603302106WP08,good,swn 80,unknown,annually,NORAD,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.30336941,-4.997288704",shallow well,1000,850,1990,enough,1603302106WP03,good,swn 80,unknown,annually,NORAD,DWE,vwc,none
functional,Kigoma,Uvinza,Uvinza,"30.3001621,-5.001024211",borehole,1000,550,1990,enough,1603302106WP01,good,nira/tanira,unknown,annually,NORAD,DWE,vwc,none
functional,Kigoma,Kigoma Rural,Uvinza,"30.44418591,-5.045449349",shallow well,0,340,2011,insufficient,1603302106WP42,good,nira/tanira,unknown,unknown,TASAF,DWE,vwc,none
