Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Kilimanjaro,Same,Vunta,"37.97729053,-4.495587904",spring,0,250,1996,insufficient,03033027201WP04,good,gravity,unknown,never pay,TCRS,TCRS,private operator,none
functional,Kilimanjaro,Same,Vunta,"37.97557112,-4.493612031",spring,0,250,1986,enough,03033027201WP05,good,gravity,unknown,never pay,Anglican Church,Anglican church,vwc,none
functional,Kilimanjaro,Same,Vunta,"37.9751068,-4.493109001",spring,0,240,1996,insufficient,03033027201WP06,good,gravity,unknown,never pay,TCRS,TCRS,vwc,none
functional,Kilimanjaro,Same,Vunta,"37.97251079,-4.491939875",spring,0,320,1996,insufficient,03033027201WP07,good,gravity,unknown,never pay,TCRS,TCRS,vwc,none
functional,Kilimanjaro,Same,Vunta,"37.9817543,-4.482232665",shallow well,0,120,2006,enough,03033027201WP11,good,nira/tanira,unknown,never pay,Mbunge,Mbunge,vwc,none
functional,Kilimanjaro,Same,Vunta,"37.97287274,-4.470952629",spring,0,400,1999,enough,03033027201WP12,good,gravity,unknown,never pay,TCRS,TCRS,vwc,none
functional,Kilimanjaro,Same,Vunta,"37.97791116,-4.464272595",shallow well,0,210,2006,enough,03033027201WP13,salty,nira/tanira,unknown,never pay,Mbunge,Mbunge,vwc,none
functional,Kilimanjaro,Same,Vunta,"37.9444131,-4.475596159",spring,300,120,2005,enough,03033027201WP15,good,gravity,unknown,monthly,TCRS,TCRS,vwc,none
functional,Kilimanjaro,Same,Vunta,"37.94269461,-4.475743658",spring,300,230,2005,enough,03033027201WP16,good,gravity,unknown,monthly,TCRS,TCRS,vwc,none
functional,Kilimanjaro,Same,Vunta,"37.99305315,-4.553633369",shallow well,0,210,2009,enough,03033027201WP18,unknown,nira/tanira,unknown,never pay,Mbunge,Mbunge,vwc,none
functional,Kilimanjaro,Same,Vunta,"37.96812228,-4.499682986",spring,0,210,1996,insufficient,03033027201WP28,good,gravity,unknown,never pay,TCRS,TCRS,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.74221582,-4.025464246",spring,0,210,2010,insufficient,03033027311WP21,good,gravity,unknown,never pay,Government of Tanzania,Government,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.7267397,-3.970122488",borehole,0,520,2008,enough,03033027311WP08,good,afridev,unknown,never pay,World Bank,World Bank,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.73647577,-3.959591988",borehole,0,350,2008,enough,03033027311WP07,good,afridev,unknown,never pay,Government of Tanzania,Government,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.7136368,-3.927966704",borehole,0,750,2008,enough,03033027311WP03,salty,afridev,unknown,never pay,Government of Tanzania,Government,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.74813926,-3.925896626",shallow well,0,520,2008,enough,03033027311WP04,salty,afridev,unknown,never pay,Government of Tanzania,Government,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.72099568,-3.943482601",rainwater harvesting,0,320,2011,enough,03033027311WP02,good,gravity,unknown,never pay,Government of Tanzania,Government,other,none
functional,Kilimanjaro,Same,Vumari,"37.75297909,-4.011416335",spring,0,320,2010,insufficient,03033027311WP23,good,gravity,unknown,never pay,ISF,ISF,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.74900965,-4.023144323",spring,0,250,2010,insufficient,03033027311WP22,good,gravity,unknown,never pay,ISF,ISF,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.73850315,-3.970748005",borehole,50,400,2011,enough,03033027311WP11,good,submersible,unknown,per bucket,RC CHURCH,RC CHURCH,private operator,none
functional,Kilimanjaro,Same,Vumari,"37.73046988,-3.95168135",borehole,0,500,2008,enough,03033027311WP05,good,afridev,unknown,never pay,Government of Tanzania,Government,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.73493216,-4.0213001",spring,0,350,2012,insufficient,03033027311WP20,good,gravity,unknown,never pay,Government of Tanzania,Government,private operator,none
functional,Kilimanjaro,Same,Vumari,"37.73442473,-4.025584653",spring,0,420,2010,enough,03033027311WP18,good,gravity,unknown,never pay,ISF,ISF,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.73408882,-4.02131393",spring,0,420,2010,insufficient,03033027311WP17,good,gravity,unknown,never pay,ISF,ISF,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.73131157,-4.015406365",spring,0,250,2010,enough,03033027311WP16,good,gravity,2013,never pay,ISF,ISF,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.73136841,-4.010773364",spring,0,340,2010,insufficient,03033027311WP15,good,gravity,unknown,never pay,ISF,ISF,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.73390082,-4.008340668",rainwater harvesting,0,420,2011,enough,03033027311WP14,good,gravity,unknown,never pay,World Vision,World Vision,private operator,none
functional,Kilimanjaro,Same,Vumari,"37.73011758,-4.002151469",spring,0,420,2002,enough,03033027311WP13,good,gravity,unknown,never pay,ISF,ISF,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.73098105,-3.95254983",borehole,0,750,2008,enough,03033027311WP06,good,afridev,unknown,never pay,World Bank,World Bank,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.74119084,-3.985997083",borehole,50,120,2012,enough,03033027311WP10,good,submersible,unknown,per bucket,Government of Tanzania,Government,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.74172509,-3.976987195",borehole,50,420,1998,enough,03033027311WP09,good,submersible,unknown,per bucket,Government of Tanzania,Government,vwc,none
functional,Kilimanjaro,Same,Vumari,"37.7301777,-4.003731616",spring,0,250,2006,insufficient,03033027311WP12,good,gravity,unknown,never pay,ISF,ISF,vwc,none
functional,Kilimanjaro,Same,Vuje,"38.00097641,-4.249867066",spring,0,30,2002,enough,03038027101WP35,good,gravity,unknown,never pay,Kalitasi,Kalitasi,vwc,none
functional,Kilimanjaro,Same,Vuje,"37.99915375,-4.247523428",spring,6000,42,2002,insufficient,03038027101WP36,good,gravity,unknown,annually,Kalitasi,Kalitasi,vwc,none
functional,Kilimanjaro,Same,Vuje,"37.99435723,-4.246828628",spring,0,288,2002,enough,03038027101WP33,good,gravity,unknown,never pay,Kalitasi,Kalitasi,vwc,none
functional,Kilimanjaro,Same,Vuje,"37.99299543,-4.241568836",spring,0,830,2002,enough,03038027101WP32,good,gravity,unknown,never pay,Kalitasi,Kalitasi,vwc,tap broken
functional,Kilimanjaro,Same,Vuje,"37.99801871,-4.23979305",spring,0,10,2002,enough,03038027101WP30,good,gravity,unknown,never pay,Kalitasi,Kalitasi,vwc,none
functional,Kilimanjaro,Same,Vuje,"37.99594766,-4.245548917",spring,0,34,2002,enough,03038027101WP34,good,gravity,unknown,never pay,Kalitasi,Kalitasi,vwc,none
functional,Kilimanjaro,Same,Vuje,"38.00416215,-4.243279418",spring,0,20,2002,insufficient,03038027101WP28,good,gravity,unknown,never pay,Kalitasi,Kalitasi,vwc,none
functional,Kilimanjaro,Same,Vuje,"37.9975906,-4.236022125",spring,0,280,2002,enough,03038027101WP27,good,gravity,unknown,never pay,Kalitasi,Kalitasi,vwc,none
