Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Lindi,Kilwa,Tingi,"39.25755702,-8.500276861",borehole,100,380,2011,enough,80130301WP09,good,submersible,unknown,per bucket,Private,Artisan,private operator,none
functional,Lindi,Kilwa,Tingi,"39.25640437,-8.498722321",borehole,100,530,2007,enough,80130301WP01,good,submersible,unknown,per bucket,Government of Tanzania,DWE,vwc,none
functional,Lindi,Kilwa,Tingi,"39.25745065,-8.49901987",borehole,100,600,2010,enough,80130301WP02,salty,submersible,unknown,per bucket,Private,Artisan,private operator,none
functional,Lindi,Kilwa,Tingi,"39.2577738,-8.497978633",borehole,100,430,2007,enough,80130301WP03,salty,submersible,unknown,per bucket,Private,Artisan,private operator,none
functional,Lindi,Kilwa,Tingi,"39.25792702,-8.49827108",borehole,50,303,2002,enough,80130301WP06,salty,submersible,unknown,per bucket,Private,Artisan,private operator,none
functional,Lindi,Kilwa,Tingi,"39.25915647,-8.499083844",shallow well,100,360,2008,enough,80130301WP07,good,nira/tanira,unknown,per bucket,Private,Artisan,private operator,none
functional,Lindi,Kilwa,Tingi,"39.25907433,-8.499095413",borehole,100,360,2010,enough,80130301WP08,salty,submersible,unknown,per bucket,Private,Artisan,private operator,none
functional,Lindi,Kilwa,Tingi,"39.25873559,-8.496805522",shallow well,0,30,2008,insufficient,80130301WP23,salty,nira/tanira,unknown,never pay,Private,Artisan,private operator,none
functional,Lindi,Kilwa,Tingi,"39.25533844,-8.505732518",shallow well,100,360,2011,insufficient,80130301WP19,good,nira/tanira,unknown,per bucket,Private,Artisan,private operator,none
functional,Lindi,Kilwa,Tingi,"39.25882778,-8.502467889",shallow well,0,550,2010,enough,80130301WP10,salty,afridev,unknown,never pay,Lifetime,Artisan,other,none
functional,Lindi,Babati,Tandangongoro,"39.57371166,-9.935447319",borehole,100,500,2006,enough,80620065WP03_469,good,submersible,unknown,per bucket,Japan,Japan,vwc,none
functional,Lindi,Lindi Urban,Tandangongoro,"39.52353704,-10.03197238",borehole,0,300,2011,enough,806200615WP09_444,good,india mark ii,unknown,unknown,Gain,Gain,vwc,none
functional,Lindi,Babati,Tandangongoro,"39.57370973,-9.935400701",borehole,100,500,2006,enough,80620065WP02_468,good,submersible,unknown,per bucket,Japan,Japan,vwc,none
functional,Lindi,Babati,Tandangongoro,"39.57372097,-9.935360387",borehole,0,500,2006,enough,80620065WP01_467,good,submersible,unknown,unknown,Japan,Japan,vwc,none
functional,Lindi,Babati,Tandangongoro,"39.57369141,-9.935509255",borehole,100,500,2006,enough,80620065WP05_471,good,submersible,unknown,per bucket,Japan,Japan,vwc,none
functional,Lindi,Lindi Urban,Tandangongoro,"39.50257506,-10.04325397",borehole,0,500,2012,insufficient,806200615WP03_438,good,india mark ii,unknown,unknown,Canada,Canada na Tanzania,vwc,none
functional,Lindi,Lindi Urban,Tandangongoro,"39.50428962,-10.04421617",borehole,0,200,2012,enough,806200615WP05_440,good,india mark ii,unknown,unknown,Canada,Canada na Tanzania,vwc,none
functional,Lindi,Lindi Urban,Tandangongoro,"39.48134738,-10.05058409",borehole,0,400,2010,enough,806200615WP01_436,good,india mark ii,unknown,unknown,canada,Canada na Tanzania,vwc,none
functional,Lindi,Lindi Urban,Tandangongoro,"39.51571065,-10.03513383",borehole,0,200,1997,enough,806200615WP10_445,good,nira/tanira,unknown,unknown,Fini water,Fini water,vwc,none
functional,Lindi,Lindi Urban,Tandangongoro,"39.52248649,-10.03394028",borehole,50,300,2007,enough,806200615WP11_446,good,india mark ii,unknown,per bucket,Tasaf,Tasaf,vwc,none
functional,Lindi,Babati,Tandangongoro,"39.52763091,-10.0319303",borehole,0,300,2010,enough,806200615WP15_450,good,india mark ii,unknown,unknown,Gain,Gain,vwc,none
functional,Lindi,Babati,Tandangongoro,"39.5736761,-9.935454654",borehole,100,500,2006,enough,80620065WP04_470,good,submersible,unknown,per bucket,Japan,Japan,vwc,none
functional,Lindi,Lindi Urban,Sudi,"39.86352043,-10.21634946",river/lake,50,235,2006,enough,80230329WP03_358,good,submersible,unknown,per bucket,JAICA,JAICA,wua,none
functional,Lindi,Lindi Urban,Sudi,"39.86386189,-10.21619826",river/lake,50,1,2006,enough,80230329WP04_359,good,submersible,unknown,per bucket,JAICA,JAICA,wua,none
functional,Lindi,Lindi Urban,Sudi,"39.86382178,-10.21527479",river/lake,50,345,2006,enough,80230329WP06_361,good,submersible,unknown,per bucket,JAICA,JAICA,wua,none
functional,Lindi,Lindi Urban,Sudi,"39.88114635,-10.22954943",river/lake,50,235,2006,enough,80230329WP01_356,good,submersible,unknown,per bucket,JAICA,JAICA,wua,none
functional,Lindi,Kilwa,Songosongo,"39.51172257,-8.525236723",other,20,60,2011,enough,801303019WP13,good,submersible,unknown,per bucket,Songas,Artisan,vwc,none
functional,Lindi,Kilwa,Songosongo,"39.50880321,-8.520723457",other,20,300,2006,enough,801303019WP10,good,submersible,unknown,per bucket,Songas,Artisan,vwc,none
functional,Lindi,Kilwa,Songosongo,"39.49961507,-8.51209737",other,20,100,2006,enough,801303019WP04,good,submersible,unknown,per bucket,Songas,Artisan,vwc,none
functional,Lindi,Kilwa,Songosongo,"39.5148718,-8.529412094",other,20,300,2006,enough,801303019WP16,good,submersible,unknown,per bucket,Songas,Artisan,vwc,none
functional,Lindi,Lindi Rural,Rutamba,"39.44612001,-10.03260671",river/lake,0,1,2004,enough,802303223WP019_246,good,gravity,unknown,never pay,LIPS,District Council,vwc,none
functional,Lindi,Lindi Rural,Rutamba,"39.47827386,-10.04953685",borehole,1000,234,2011,enough,802303223WP001_228,colored,india mark ii,unknown,annually,GEN,GEN,vwc,none
