Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
unctional,Manyara,Mbulu,Yaeda Chini,"35.16394501,-3.943006877",spring,0,100,2012,enough,21033005151WP11,good,gravity,unknown,never pay,WaterAid,WATERAID,vwc,none
functional,Manyara,Mbulu,Yaeda Chini,"35.15115541,-3.961533381",spring,0,137,2012,unknown,21033005151WP20,unknown,gravity,unknown,unknown,WaterAid,WATERAID,unknown,none
functional,Manyara,Mbulu,Yaeda Chini,"35.1522912,-3.960222156",rainwater harvesting,0,275,1997,seasonal,21033005151WP19,good,other,unknown,never pay,CUSO,CUSO,parastatal,none
functional,Manyara,Mbulu,Yaeda Chini,"35.15198578,-3.960722232",rainwater harvesting,0,357,1997,seasonal,21033005151WP18,good,other,unknown,never pay,CUSO,CUSO,parastatal,none
functional,Manyara,Mbulu,Yaeda Chini,"35.1647699,-3.967791421",spring,0,164,2012,enough,21033005151WP16,good,gravity,unknown,never pay,WaterAid,WATERAID,vwc,none
functional,Manyara,Mbulu,Yaeda Chini,"35.16996663,-3.972143776",spring,0,186,2012,enough,21033005151WP15,good,gravity,unknown,never pay,WaterAid,WATERAID,vwc,none
functional,Manyara,Mbulu,Yaeda Chini,"35.15492162,-3.961251912",spring,0,153,2012,enough,21033005151WP14,good,gravity,unknown,never pay,WaterAid,WATERAID,vwc,none
functional,Manyara,Mbulu,Yaeda Chini,"35.16290097,-3.949093587",spring,0,132,2012,enough,21033005151WP12,good,gravity,unknown,never pay,WaterAid,WATERAID,parastatal,none
functional,Manyara,Mbulu,Yaeda Chini,"35.12,-3.868",borehole,5000,300,2014,enough,21033005151WP22,good,mono,unknown,annually,TAG,TAG,vwc,none
functional,Manyara,Mbulu,Yaeda Chini,"35.24849132,-3.909876144",rainwater harvesting,0,146,1997,seasonal,21033005151WP02,good,other,unknown,never pay,MDRDP,MDRDP,vwc,none
functional,Manyara,Mbulu,Yaeda Chini,"35.22406693,-3.848562847",borehole,0,174,2008,enough,21033005151WP04,good,india mark ii,unknown,never pay,Huches,Huches,private operator,none
functional,Manyara,Mbulu,Yaeda Chini,"35.2780347,-3.857987072",borehole,0,234,1997,insufficient,21033005151WP06,good,other handpump,unknown,never pay,MDRDP,MDRDP,vwc,none
functional,Manyara,Mbulu,Yaeda Chini,"35.29642864,-3.846089394",borehole,0,192,2008,insufficient,21033005151WP07,good,other handpump,unknown,never pay,WaterAid,WATERAID,vwc,none
functional,Manyara,Mbulu,Yaeda Chini,"35.31154673,-3.833328992",borehole,0,175,2008,insufficient,21033005151WP08,good,swn 80,unknown,never pay,WaterAid,WATERAID,vwc,none
functional,Manyara,Mbulu,Yaeda Ampa,"35.45760102,-4.014877475",shallow well,0,1,1993,enough,21033005271WP01,good,nira/tanira,unknown,never pay,MDRDP,MDRDP,vwc,none
functional,Manyara,Mbulu,Yaeda Ampa,"35.44850785,-4.013240063",shallow well,0,189,1995,enough,21033005271WP05,good,nira/tanira,unknown,never pay,MDRDP,MDRDP,vwc,none
functional,Manyara,Simanjiro,Yaeda Ampa,"35.34619885,-4.005177039",river/lake,0,214,1976,enough,21033005271WP08,good,gravity,unknown,never pay,REGIONAL WATER ENGINEER ARUSHA,REGIONAL WATER ENGINEER ARUSHA,parastatal,none
functional,Manyara,Simanjiro,Yaeda Ampa,"35.33749833,-4.011990602",river/lake,0,214,1976,enough,21033005271WP09,good,gravity,unknown,never pay,REGIONAL WATER ENGINEER ARUSHA,REGIONAL WATER ENGINEER ARUSHA,parastatal,none
functional,Manyara,Mbulu,Uhuru,"35.53950614,-3.832108171",shallow well,0,135,1994,insufficient,21033005212WP03,good,nira/tanira,unknown,never pay,Unknown,Unknown,vwc,none
functional,Manyara,Mbulu,Uhuru,"35.544,-3.848999999",spring,10,,2008,enough,21033005212WP07,good,gravity,unknown,per bucket,MDC,DWE,water authority,none
functional,Manyara,Simanjiro,Uhuru,"35.545163,-3.844640999",spring,10,239,2008,enough,21033005212WP06,good,gravity,unknown,per bucket,MDC,DWE,water authority,none
functional,Manyara,Babati,Ufana,"35.359378,-4.288950999",spring,0,53,unknown,unknown,21013002141WP61,unknown,gravity,unknown,unknown,,,unknown,none
functional,Manyara,Babati,Ufana,"35.347242,-4.253213999",spring,20,198,unknown,enough,21013002141WP55,good,gravity,unknown,per bucket,WSDP,VUMWE CONSTRUCTION,vwc,tap broken
functional,Manyara,Babati,Ufana,"35.313289,-4.218446999",spring,0,0,unknown,enough,21013002141WP25,good,gravity,unknown,unknown,Government of Tanzania,Community,parastatal,none
functional,Manyara,Babati,Ufana,"35.370952,-4.230396999",spring,500,0,unknown,enough,21013002141WP33,good,gravity,unknown,unknown,LAMP,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.366873,-4.239661999",spring,500,0,unknown,enough,21013002141WP32,good,gravity,unknown,unknown,LAMP,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.350565,-4.234350999",shallow well,0,0,unknown,enough,21013002141WP30,good,nira/tanira,unknown,unknown,Government of Tanzania,MANYARA CONSTRUCTION,vwc,none
functional,Manyara,Babati,Ufana,"35.25511,-4.300474999",spring,0,521,unknown,insufficient,21013002141WP41,good,gravity,unknown,unknown,WSDP,VUMWE CONSTRUCTION,vwc,none
functional,Manyara,Babati,Ufana,"35.361923,-4.244817999",spring,500,0,unknown,unknown,21013002141WP27,good,gravity,unknown,unknown,LAMP,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.362999,-4.240795999",spring,0,0,unknown,insufficient,21013002141WP28,good,gravity,unknown,unknown,LAMP,DWE,parastatal,none
functional,Manyara,Babati,Ufana,"35.337068,-4.292253999",river/lake,0,0,unknown,enough,21013002141WP20,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.260022,-4.286361999",spring,0,725,unknown,insufficient,21013002141WP42,good,gravity,unknown,unknown,WSDP,VUMWE CONSTRUCTION,vwc,none
functional,Manyara,Babati,Ufana,"35.334514,-4.276825999",river/lake,0,0,unknown,enough,21013002141WP19,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.317383,-4.253295999",river/lake,0,0,unknown,enough,21013002141WP17,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.308527,-4.258760999",river/lake,0,0,unknown,enough,21013002141WP16,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.309079,-4.259803999",river/lake,0,0,unknown,enough,21013002141WP15,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.261667,-4.275748999",spring,0,432,unknown,insufficient,21013002141WP43,good,gravity,unknown,unknown,WSDP,VUMWE CONSTRUCTION,vwc,none
functional,Manyara,Babati,Ufana,"35.27672,-4.279905999",spring,0,612,unknown,insufficient,21013002141WP45,good,gravity,unknown,unknown,WSDP,VUMWE CONSTRUCTION,vwc,none
functional,Manyara,Babati,Ufana,"35.341219,-4.258098999",spring,20,202,unknown,enough,21013002141WP54,good,gravity,unknown,unknown,WSDP,VUMWE CONSTRUCTION,vwc,tap broken
functional,Manyara,Babati,Ufana,"35.319195,-4.232497999",spring,0,0,unknown,enough,21013002141WP23,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.311599,-4.230747999",spring,0,0,unknown,enough,21013002141WP24,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.308528,-4.263288999",river/lake,0,0,unknown,enough,21013002141WP13,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.302409,-4.269174999",river/lake,0,0,unknown,enough,21013002141WP12,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.353958,-4.245834999",spring,20,72,unknown,enough,21013002141WP56,good,gravity,unknown,per bucket,WSDP,VUMWE CONSTRUCTION,vwc,none
functional,Manyara,Babati,Ufana,"35.357638,-4.242689999",spring,20,170,unknown,enough,21013002141WP57,good,gravity,unknown,per bucket,WSDP,VUMWE CONSTRUCTION,vwc,none
functional,Manyara,Babati,Ufana,"35.294843,-4.260659999",river/lake,0,0,unknown,enough,21013002141WP11,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.361379,-4.242072999",spring,20,158,unknown,enough,21013002141WP58,good,gravity,unknown,per bucket,WSDP,VUMWE CONSTRUCTION,vwc,none
functional,Manyara,Babati,Ufana,"35.277457,-4.282234999",river/lake,0,0,unknown,enough,21013002141WP09,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.26371,-4.288821999",river/lake,0,0,unknown,enough,21013002141WP07,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.360361,-4.281967999",river/lake,0,0,unknown,enough,21013002141WP22,good,gravity,unknown,unknown,Government of Tanzania,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.256498,-4.228507999",borehole,0,0,unknown,enough,21013002141WP01,good,afridev,unknown,unknown,WaterAid,DWE,vwc,none
functional,Manyara,Babati,Ufana,"35.358876,-4.261992999",spring,0,63,unknown,unknown,21013002141WP59,good,gravity,unknown,unknown,,,unknown,none
functional,Manyara,Babati,Ufana,"35.351977,-4.300723999",spring,20,53,unknown,unknown,21013002141WP62,unknown,gravity,unknown,per bucket,WSDP,,water board,none
functional,Manyara,Babati,Ufana,"35.35233,-4.263686999",spring,20,108,unknown,unknown,21013002141WP63,unknown,gravity,unknown,per bucket,WSDP,,water board,none
functional,Manyara,Mbulu,Tumati,"35.40480061,-4.105954614",borehole,0,185,1998,enough,21033005111WP02,good,other handpump,unknown,never pay,MDRDP,MDRDP,vwc,none
functional,Manyara,Mbulu,Tumati,"35.41908864,-4.037951327",shallow well,0,137,2001,enough,21033005111WP03,good,nira/tanira,unknown,never pay,PIDP,PIDP,vwc,none
functional,Manyara,Mbulu,Tumati,"35.44290343,-4.051463601",shallow well,0,186,1994,enough,21033005111WP06,good,swn 80,unknown,never pay,MDRDP,MDRDP,parastatal,none
functional,Manyara,Mbulu,Tumati,"35.45363015,-4.050279003",shallow well,0,246,1994,insufficient,21033005111WP07,good,swn 80,unknown,never pay,MDRDP,MDRDP,vwc,none
functional,Manyara,Hanang,Tlawi,"35.472067,-3.918642999",river/lake,,174,2013,enough,21033005111WP08,good,gravity,unknown,never pay,GoT,DWE,wug,none
functional,Manyara,Hanang,Tlawi,"35.47063,-3.890489999",river/lake,,250,2014,enough,21033005081WP12,good,gravity,unknown,never pay,RWSSP,MDC,cowso,none
functional,Manyara,Mbulu,Tlawi,"35.48831948,-3.893387501",river/lake,0,261,2003,enough,21033005081WP07,good,gravity,unknown,never pay,TASAF/DMDD,TASAF/DMDD,vwc,none
functional,Manyara,Mbulu,Tlawi,"35.48519401,-3.890744716",river/lake,0,428,2003,enough,21033005081WP05,good,gravity,unknown,never pay,TASAF/DMDD,TASAF/DMDD,parastatal,none
functional,Manyara,Mbulu,Tlawi,"35.48288289,-3.893933893",river/lake,0,215,2003,enough,21033005081WP03,good,gravity,unknown,never pay,TASAF/DMDD,TASAF/DMDD,vwc,none
functional,Manyara,Simanjiro,Tlawi,"35.463378,-3.912202999",river/lake,,211,2013,enough,21033005111WP09,good,gravity,unknown,never pay,GoT,DWE,wua,none
functional,Manyara,Simanjiro,Tlawi,"35.478385,-3.888936999",river/lake,,91,2009,enough,21033005111WP11,good,gravity,unknown,never pay,GoT,DWE,wua,none
functional,Manyara,Simanjiro,Tlawi,"35.463,-3.910999999",river/lake,,517,2008,enough,21033005111WP10,good,gravity,unknown,never pay,GoT,DWE,parastatal,none
functional,Manyara,Kiteto,Sunya,"37.08830336,-5.717349443",borehole,0,1,2006,enough,21053004091WP11,good,submersible,2006,never pay,World Bank,Government,vwc,engine broken
functional,Manyara,Kiteto,Sunya,"37.09565238,-5.724928314",rainwater harvesting,0,360,2011,seasonal,21053004091WP03,good,gravity,unknown,never pay,TASAF,Government,vwc,none
functional,Manyara,Hanang,Sirop,"35.63071392,-4.587316029",rainwater harvesting,50,588,2008,insufficient,21023003181WP04,good,submersible,unknown,monthly,Halmashauri,Halmashauri,vwc,none
functional,Manyara,Hanang,Sirop,"35.62269097,-4.592850396",rainwater harvesting,50,563,2008,dry,21023003181WP06,good,submersible,unknown,per bucket,Halmashauri,Halmashauri,vwc,tap broken
functional,Manyara,Hanang,Sirop,"35.62650445,-4.588761142",rainwater harvesting,50,486,2008,insufficient,21023003181WP05,good,submersible,unknown,per bucket,Halmashauri,Halmashauri,vwc,none
functional,Manyara,Hanang,Sirop,"35.63165983,-4.587087308",rainwater harvesting,50,100,2008,insufficient,21023003181WP03,good,submersible,unknown,per bucket,Halmashauri,Halmashauri,vwc,none
functional,Manyara,Hanang,Sirop,"35.64224433,-4.569908751",rainwater harvesting,50,186,2008,insufficient,21023003181WP02,good,submersible,2012,per bucket,Halmashauri,Halmashauri,unknown,tap broken
functional,Manyara,Hanang,Sirop,"35.63257798,-4.578097766",rainwater harvesting,50,150,2008,insufficient,21023003181WP01,good,submersible,unknown,per bucket,Halmashauri,Halmashauri,vwc,none
functional,Manyara,Mbulu,Singe,"35.742609,-4.273375999",shallow well,0,212,unknown,enough,21012024WP24_1,good,rope pump,unknown,unknown,WSDP,,company,none
functional,Manyara,Mbulu,Singe,"35.746459,-4.270348999",borehole,0,25,unknown,enough,21012024WP02_1,good,submersible,unknown,unknown,LTT/KAEMBE NGO,KAEMBECONSTRUCTION,other,none
functional,Manyara,Mbulu,Singe,"35.754451,-4.275735999",river/lake,0,72,unknown,insufficient,21012024WP10_1,good,gravity,unknown,unknown,VILLAGERS,VILLAGERS,company,none
functional,Manyara,Mbulu,Singe,"35.742359,-4.273396999",rainwater harvesting,0,206,unknown,seasonal,21012024WP25_1,good,gravity,unknown,unknown,,,company,none
