Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Mara,Serengeti,Uwanja wa Ndege,"34.61795066,-1.820369695",rainwater harvesting,0,525,2011,seasonal,2002303525WP0687,good,gravity,unknown,unknown,Care international,Care international,other,none
functional,Mara,Serengeti,Uwanja wa Ndege,"34.61789742,-1.810184112",spring,0,600,2012,enough,2002303525WP0688,good,afridev,unknown,unknown,Care international,Care international,other,none
functional,Mara,Serengeti,Uwanja wa Ndege,"34.62675095,-1.826508455",spring,0,1000,2012,unknown,2002303525WP0690,unknown,gravity,unknown,unknown,Care international,Care international,unknown,none
functional,Mara,Serengeti,Uwanja wa Ndege,"34.6263881,-1.825989258",shallow well,0,200,2004,enough,2002303525WP0691,good,rope pump,unknown,unknown,Kegocha,kegocha,private operator,none
functional,Mara,Butiama,Uwanja wa Ndege,"34.60889974,-1.871111309",borehole,0,2000,2009,enough,2002303525WP0709,salty,india mark ii,unknown,unknown,AMREF,AMREF,wug,none
functional,Mara,Serengeti,Uwanja wa Ndege,"34.63239049,-1.887487439",shallow well,0,1200,2011,insufficient,2002303525WP0695,good,nira/tanira,unknown,unknown,AMREF,AMREF,wug,none
functional,Mara,Serengeti,Uwanja wa Ndege,"34.63594322,-1.87999504",rainwater harvesting,0,30,2000,seasonal,2002303525WP0696,good,gravity,unknown,unknown,HESAWA,HESAWA,private operator,none
functional,Mara,Serengeti,Uwanja wa Ndege,"34.63606003,-1.879858092",rainwater harvesting,0,30,2000,unknown,2002303525WP0698,unknown,gravity,unknown,unknown,HESAWA,HESAWA,unknown,none
functional,Mara,Serengeti,Uwanja wa Ndege,"34.63635116,-1.877476929",rainwater harvesting,0,40,2003,seasonal,2002303525WP0700,good,gravity,unknown,unknown,AMREF,AMREF,wug,none
functional,Mara,Serengeti,Uwanja wa Ndege,"34.65047397,-1.858574884",rainwater harvesting,0,560,2008,seasonal,2002303525WP0703,good,gravity,unknown,unknown,TANAPA,TANAPA,wug,none
functional,Mara,Serengeti,Uwanja wa Ndege,"34.64614011,-1.857866955",borehole,0,800,2007,enough,2002303525WP0704,salty,afridev,unknown,unknown,,,other,none
functional,Mara,Serengeti,Uwanja wa Ndege,"34.63289537,-1.873719924",shallow well,0,600,2009,insufficient,2002303525WP0705,good,nira/tanira,unknown,unknown,AMREF,AMREF,wug,none
