Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Mbeya,Mbeya Rural,Utengule Usongwe,"33.34238987,-8.886032579",river/lake,0,0,unknown,insufficient,12023040113WP42_316,good,gravity,unknown,on failure,Village Council,Village Council,wug,tap broken
functional,Mbeya,Mbeya Rural,Utengule Usongwe,"33.33982183,-8.882467875",river/lake,0,0,unknown,insufficient,12023040113WP41_315,good,gravity,unknown,on failure,DANIDA,DANIDA,wug,tap broken
functional,Mbeya,Mbeya Rural,Utengule Usongwe,"33.33904191,-8.880152857",river/lake,0,0,unknown,insufficient,12023040113WP40_314,good,gravity,unknown,on failure,DANIDA,DANIDA,wug,tap broken
functional,Mbeya,Mbeya Rural,Utengule Usongwe,"33.33351185,-8.879181091",river/lake,0,0,unknown,insufficient,12023040113WP38_312,good,gravity,unknown,on failure,Village Council,Village Council,wug,tap broken
functional,Mbeya,Mbeya Rural,Utengule Usongwe,"33.33406205,-8.885619071",river/lake,0,0,unknown,insufficient,12023040113WP37_311,good,gravity,unknown,on failure,DANIDA,DANIDA,wug,none
functional,Mbeya,Mbeya Rural,Utengule Usongwe,"33.331865,-8.88467369",river/lake,0,0,unknown,insufficient,12023040113WP35_309,good,gravity,unknown,on failure,Village Council,Village Council,wug,tap broken
functional,Mbeya,Mbeya Rural,Utengule Usongwe,"33.33045709,-8.883321494",river/lake,0,0,unknown,insufficient,12023040113WP34_308,good,gravity,unknown,on failure,DANIDA,DANIDA,wug,tap broken
functional,Mbeya,Mbeya Rural,Utengule Usongwe,"33.32587804,-8.874428319",river/lake,0,0,unknown,enough,12023040113WP33_307,good,gravity,unknown,on failure,DANIDA,DANIDA,wug,none
functional,Mbeya,Mbeya Rural,Utengule Usongwe,"33.32697781,-8.879891528",river/lake,0,0,unknown,insufficient,12023040113WP31_305,good,gravity,unknown,on failure,Village Council,Village Council,wug,none
functional,Mbeya,Mbeya Rural,Utengule Usongwe,"33.34953705,-8.896088332",river/lake,0,0,unknown,insufficient,12023040113WP29_303,good,gravity,unknown,on failure,DANIDA,DANIDA,wug,none
functional,Mbeya,Mbeya Rural,Utengule Usongwe,"33.3728236,-8.889101851",river/lake,0,0,unknown,insufficient,12023040113WP19_293,good,gravity,unknown,on failure,DANIDA,DANIDA,wug,none
