Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Morogoro,Gairo,Zombo,"36.9008713,-6.745178568",shallow well,500,250,2010,insufficient,05013044291WP13_1217,good,swn 80,unknown,on failure,Ki,Ha,vwc,none
functional,Morogoro,Gairo,Zombo,"36.9071547,-6.741410037",shallow well,500,250,1981,insufficient,05013044291WP12_1216,good,swn 80,unknown,on failure,DH,DH,vwc,none
functional,Morogoro,Gairo,Zombo,"36.97555001,-6.896164592",shallow well,500,300,2010,insufficient,05013044291WP10_1214,good,swn 80,unknown,on failure,Ki,Ki,vwc,none
functional,Morogoro,Gairo,Zombo,"36.91483035,-6.909939982",shallow well,500,300,2009,insufficient,05013044291WP07_1212,good,swn 80,unknown,monthly,Ki,Ki,vwc,none
functional,Morogoro,Gairo,Zombo,"36.95950667,-6.924028311",shallow well,500,250,2005,enough,05013044291WP05_1210,good,swn 80,unknown,monthly,Pr,Ki,private operator,none
functional,Morogoro,Gairo,Zombo,"36.95998351,-6.923132265",shallow well,500,250,2005,insufficient,05013044291WP04_1209,good,swn 80,unknown,monthly,Ki,Ki,private operator,none
functional,Morogoro,Gairo,Zombo,"36.96006235,-6.920074605",shallow well,200,300,2008,insufficient,05013044291WP03_1208,good,swn 80,unknown,monthly,Ki,Ki,vwc,none
functional,Morogoro,Gairo,Zombo,"36.96486268,-6.923581359",shallow well,200,1000,2008,insufficient,05013044291WP02_1207,good,swn 80,unknown,monthly,Ki,Ki,vwc,none
functional,Morogoro,Gairo,Zombo,"36.91117782,-6.890802672",shallow well,500,250,2008,insufficient,05013044291WP11_1215,good,other handpump,unknown,monthly,Ki,Ki,vwc,none
functional,Morogoro,Gairo,Zombo,"36.70664128,-6.836806286",shallow well,500,800,2010,insufficient,05013044281WP25_1202,good,swn 80,unknown,on failure,Ki,Ha,vwc,none
functional,Morogoro,Gairo,Zombo,"36.64057425,-6.842962552",shallow well,500,350,1982,insufficient,05013044281WP20_1197,good,swn 80,unknown,on failure,Ir,Ir,vwc,none
functional,Morogoro,Gairo,Zombo,"36.64513016,-6.764207293",shallow well,500,320,1997,enough,05013044281WP17_1194,good,nira/tanira,unknown,on failure,Ki,Ki,vwc,none
functional,Morogoro,Gairo,Zombo,"36.64539668,-6.780356267",shallow well,500,865,1981,insufficient,05013044281WP14_1191,good,swn 80,unknown,on failure,Ir,Ir,vwc,none
functional,Morogoro,Ulanga,Vigoi,"36.71798559,-8.723888576",spring,200,230,1995,enough,05043046071WP17,good,gravity,unknown,monthly,DHV,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.75330493,-8.926349705",river/lake,500,50,2000,insufficient,05043046091WP10,good,gravity,2000,monthly,DHV,DWE,wua,none
functional,Morogoro,Ulanga,Vigoi,"36.72587791,-8.688719726",spring,200,65,2000,enough,05043046071WP19,good,gravity,unknown,monthly,RC Churc,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.72701734,-8.687138279",spring,200,50,2000,enough,05043046071WP20,good,gravity,unknown,monthly,RC Churc,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.72950551,-8.686633093",spring,200,423,2000,enough,05043046071WP21,good,gravity,unknown,monthly,RC Churc,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.72717387,-8.6852724",spring,200,48,2000,enough,05043046071WP22,good,gravity,unknown,monthly,RC Churc,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.72616839,-8.685116005",spring,200,136,2000,enough,05043046071WP23,good,gravity,unknown,monthly,RC Churc,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.72788061,-8.683602852",spring,200,180,2000,enough,05043046071WP24,good,gravity,unknown,monthly,RC Churc,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.7335808,-8.679799179",spring,200,45,2000,insufficient,05043046071WP25,good,gravity,unknown,monthly,RC Churc,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.72649682,-8.678207476",spring,200,60,2000,enough,05043046071WP28,good,gravity,unknown,monthly,RC Churc,DWE,wug,tap broken
functional,Morogoro,Ulanga,Vigoi,"36.71634208,-8.896190066",river/lake,500,150,1996,enough,05043046081WP01,good,gravity,unknown,monthly,DHV,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.71339331,-8.894514584",river/lake,500,150,1996,enough,05043046081WP04,good,gravity,unknown,monthly,DHV,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.71093365,-8.89471899",river/lake,500,125,1996,enough,05043046081WP05,good,gravity,unknown,monthly,DHV,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.70962599,-8.887827356",river/lake,500,290,1996,insufficient,05043046081WP06,good,gravity,unknown,monthly,DHV,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.72675283,-8.682668789",spring,200,75,2000,enough,05043046071WP26,good,gravity,unknown,monthly,RC Churc,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.720089,-8.714423776",spring,200,300,1995,enough,05043046071WP16,good,gravity,unknown,monthly,DHV,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.75863716,-8.928586462",river/lake,500,800,2008,enough,05043046091WP06,good,gravity,unknown,per bucket,DHV,DWE,other,none
functional,Morogoro,Ulanga,Vigoi,"36.7265092,-8.68988871",spring,200,105,2000,enough,05043046071WP18,good,gravity,unknown,monthly,RC Churc,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.75612315,-8.924264025",river/lake,500,200,2000,enough,05043046091WP05,good,gravity,unknown,monthly,DHV,DWE,wua,none
functional,Morogoro,Ulanga,Vigoi,"36.75872741,-8.925385998",river/lake,500,200,2000,enough,05043046091WP04,good,gravity,unknown,monthly,DHV,DWE,wua,none
functional,Morogoro,Ulanga,Vigoi,"36.76319246,-8.928010493",river/lake,500,200,2000,enough,05043046091WP03,good,gravity,unknown,monthly,DHV,DWE,wua,none
functional,Morogoro,Ulanga,Vigoi,"36.72660639,-8.680386503",spring,200,60,2000,enough,05043046071WP27,good,gravity,unknown,monthly,RC Churc,DWE,wug,none
functional,Morogoro,Ulanga,Vigoi,"36.75359957,-8.927379869",river/lake,500,40,2000,enough,05043046091WP09,good,gravity,unknown,monthly,DHV,DWE,wua,tap broken
functional,Morogoro,Ulanga,Vigoi,"36.75532048,-8.92656817",river/lake,500,300,2000,enough,05043046091WP07,good,gravity,unknown,monthly,DHV,DWE,wua,none
functional,Morogoro,Ulanga,Vigoi,"36.75632127,-8.929051519",river/lake,500,200,2000,enough,05043046091WP08,good,gravity,unknown,monthly,DHV,DWE,wua,none
functional,Morogoro,Kilosa,Vidunda,"36.75347513,-7.287347645",river/lake,0,250,1995,enough,05013044243WP29_1055,good,gravity,unknown,never pay,St,St,vwc,none
functional,Morogoro,Kilosa,Vidunda,"36.75502566,-7.28886195",river/lake,300,200,2002,enough,05013044243WP27_1053,good,gravity,unknown,on failure,St,St,vwc,none
functional,Morogoro,Kilosa,Vidunda,"36.75407094,-7.287356833",river/lake,300,100,1995,enough,05013044243WP28_1054,good,gravity,unknown,on failure,St,St,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.67865364,-8.399583174",shallow well,200,600,1986,enough,05043046023WP02,good,swn 80,unknown,monthly,Government of Tanzania,DWE,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.66096812,-8.110860605",shallow well,1000,35,1996,enough,05033046091WP94,good,swn 80,unknown,annually,DHV,RWE,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.66963455,-8.381349873",shallow well,200,200,2003,enough,05043046023WP06,good,swn 80,unknown,monthly,Government of Tanzania,DWE,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.6769359,-8.409213524",shallow well,200,800,1995,enough,05043046023WP01,good,swn 80,unknown,monthly,DHV,DWE,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.66253744,-8.117373204",shallow well,500,250,1996,insufficient,05033046091WP93,good,swn 80,unknown,monthly,DHV,RWE,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.65844403,-8.116183211",shallow well,500,400,1997,insufficient,05033046091WP92,good,swn 80,unknown,monthly,DHV,RWE,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.66071986,-8.119546906",shallow well,500,300,1984,insufficient,05033046091WP91,good,swn 80,unknown,monthly,DHV,RWE,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.64549693,-8.105403843",shallow well,500,150,2010,insufficient,05033046091WP88,good,swn 80,unknown,monthly,Swiss If,Swiss If,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.64856804,-8.122945858",shallow well,500,350,2010,insufficient,05033046091WP87,good,swn 80,unknown,monthly,Swiss If,Swiss If,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.64441748,-8.121771126",shallow well,200,300,1988,insufficient,05033046091WP86,good,swn 80,unknown,monthly,DHV,RWE,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.65144903,-8.124611511",shallow well,500,250,2008,insufficient,05033046091WP83,good,nira/tanira,unknown,monthly,SOLIDAME,SOLIDAME,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.65245979,-8.119022647",shallow well,2000,500,2002,insufficient,05033046091WP82,good,nira/tanira,unknown,annually,Plan Int,Hydrotec,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.65076515,-8.119081736",shallow well,0,960,1997,insufficient,05033046091WP81,good,swn 80,unknown,never pay,DHV,DWE,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.6485426,-8.121746394",shallow well,0,500,2003,insufficient,05033046091WP80,good,nira/tanira,unknown,unknown,SOLIDAME,SOLIDAME,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.64819941,-8.127607688",shallow well,500,300,1997,insufficient,05033046091WP85,good,swn 80,unknown,monthly,DHV,DWE,vwc,none
functional,Morogoro,Ulanga,Utengule,"36.65770502,-8.123719742",shallow well,1500,250,1984,insufficient,05033046091WP90,good,swn 80,unknown,monthly,DHV,RWE,vwc,none
functional,Morogoro,Ulanga,Usangule,"36.35382347,-8.805920025",river/lake,1000,266,1995,enough,05043046211WP41,good,gravity,unknown,monthly,DHV,DWE,wug,none
functional,Morogoro,Ulanga,Usangule,"36.35436543,-8.817883853",river/lake,0,309,1995,enough,05043046211WP40,good,gravity,unknown,never pay,DHV,DWE,other,none
