Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Mtwara,Mtwara Rural,Ziwani,"40.24514215,-10.34211865",borehole,40,250,2000,enough,990130472WP04_389,good,submersible,unknown,per bucket,Jaica,Jaica,vwc,none
functional,Mtwara,Mtwara Rural,Ziwani,"40.19533928,-10.40190485",rainwater harvesting,100,700,2010,insufficient,990130472WP15_400,good,other,unknown,unknown,Taees,Taees,vwc,none
functional,Mtwara,Mtwara Rural,Ziwani,"40.18827675,-10.3838129",shallow well,0,400,unknown,enough,990130472WP13_398,milky,nira/tanira,unknown,unknown,Fini water,Fini water,vwc,none
functional,Mtwara,Mtwara Rural,Ziwani,"40.24865894,-10.34288707",borehole,40,200,2000,enough,990130472WP08_393,good,submersible,unknown,per bucket,Jaica,Jaica,vwc,none
functional,Mtwara,Mtwara Rural,Ziwani,"40.24724937,-10.34031862",borehole,40,200,2000,enough,990130472WP07_392,good,submersible,unknown,per bucket,Jaica,Jaica,vwc,none
functional,Mtwara,Mtwara Rural,Ziwani,"40.24624596,-10.3416774",borehole,40,200,2000,enough,990130472WP06_391,good,submersible,unknown,per bucket,Jaica,Jaica,vwc,none
functional,Mtwara,Tandahimba,Ziwani,"40.18747391,-10.38638377",borehole,0,700,1986,enough,990130472WP14_399,milky,nira/tanira,unknown,unknown,Fini water,Fini water,unknown,none
functional,Mtwara,Mtwara Rural,Ziwani,"40.24576823,-10.34234447",borehole,40,250,2000,enough,990130472WP03_388,good,submersible,unknown,per bucket,Jaica,Jaica,vwc,none
functional,Mtwara,Mtwara Rural,Ziwani,"40.24651919,-10.34251112",borehole,40,250,2000,enough,990130472WP02_387,good,submersible,unknown,per bucket,Jaica,Jaica,vwc,none
functional,Mtwara,Mtwara Rural,Ziwani,"40.24708108,-10.34250148",borehole,40,200,2000,enough,990130472WP01_386,good,submersible,unknown,per bucket,Jaica,Jaica,vwc,none
functional,Mtwara,Mtwara Urban,Ziwani,"40.21846688,-10.33078036",borehole,50,450,2008,enough,0905201003WP11,good,submersible,unknown,per bucket,TASAF,TASAF,wug,none
functional,Mtwara,Mtwara Urban,Ziwani,"40.21551597,-10.33325728",borehole,50,459,2008,enough,0905201003WP20,good,submersible,unknown,per bucket,TASAF,TASAF,private operator,none
functional,Mtwara,Mtwara Urban,Ziwani,"40.20174985,-10.35549747",shallow well,1000,444,2011,enough,0905201003WP19,good,nira/tanira,unknown,monthly,Fini Water,Fini Water,vwc,none
functional,Mtwara,Mtwara Urban,Ziwani,"40.19737577,-10.35996535",shallow well,1000,460,2011,enough,0905201003WP18,good,nira/tanira,unknown,monthly,Hasnan Murig (Mbunge),Dar es salaam Technician,vwc,none
functional,Mtwara,Mtwara Urban,Ziwani,"40.23020023,-10.32294713",shallow well,0,89,1988,enough,0905201003WP16,salty,nira/tanira,unknown,never pay,Fini Water,Fini Water,vwc,none
functional,Mtwara,Masasi,Vigaeni,"40.18942689,-10.27500135",borehole,50,120,2012,insufficient,0905201006WP02,salty,submersible,unknown,per bucket,Private Individual,Mama Agnes Kagimbo,private operator,none
functional,Mtwara,Masasi,Vigaeni,"40.18967091,-10.27477574",borehole,10,350,unknown,seasonal,0905201006WP01,good,submersible,unknown,per bucket,MTUWASA,MTUWASA,private operator,none
functional,Mtwara,Nanyumbu,Ufukoni,"40.14782963,-10.30929566",borehole,50,190,2007,seasonal,0905201012WP16,good,submersible,unknown,per bucket,Private Individual,MTUWASA,private operator,none
functional,Mtwara,Nanyumbu,Ufukoni,"40.14849132,-10.3085438",borehole,50,210,2007,seasonal,0905201012WP14,good,submersible,unknown,per bucket,Salim Ahmed Salim,MTUWASA,private operator,none
functional,Mtwara,Nanyumbu,Ufukoni,"40.15132685,-10.30819973",borehole,100,120,2012,seasonal,0905201012WP13,good,submersible,unknown,per bucket,Mnyambe,MTUWASA,private operator,none
functional,Mtwara,Nanyumbu,Ufukoni,"40.15579135,-10.30950003",borehole,50,510,2012,seasonal,0905201012WP12,good,submersible,unknown,per bucket,MTUWASA and Community,MTUWASA and Community,private operator,none
functional,Mtwara,Nanyumbu,Ufukoni,"40.16062488,-10.30619034",borehole,50,430,2012,seasonal,0905201012WP11,good,submersible,unknown,per bucket,MTUWASA and Community,MTUWASA and Community,private operator,none
functional,Mtwara,Nanyumbu,Ufukoni,"40.1620041,-10.3114207",borehole,50,405,2012,seasonal,0905201012WP10,good,submersible,unknown,per bucket,MTUWASA and Community,MTUWASA and Community,private operator,none
