Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Mwanza,Kwimba,Walla,"33.33046011,-2.787945149",shallow well,0,0,unknown,enough,19043053011WP52_45,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.30091848,-2.873222884",shallow well,0,0,unknown,enough,19043053011WP37_31,good,swn 80,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.28406248,-2.878754391",shallow well,0,0,unknown,enough,19043053011WP34_28,good,swn 80,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.29592061,-2.870441619",shallow well,0,0,unknown,enough,19043053011WP38_32,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.29649771,-2.849968266",shallow well,0,0,unknown,enough,19043053011WP40_34,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.28178266,-2.851040319",shallow well,0,0,unknown,enough,19043053011WP42_36,good,other,unknown,never pay,Redep,Redep,vwc,none
functional,Mwanza,Kwimba,Walla,"33.28801016,-2.829991461",shallow well,0,0,unknown,enough,19043053011WP43_37,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.27972207,-2.816573066",shallow well,0,0,unknown,enough,19043053011WP44_38,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.30037338,-2.825905255",shallow well,0,0,unknown,insufficient,19043053011WP46_39,good,swn 80,unknown,never pay,Redep,Redep,vwc,none
functional,Mwanza,Kwimba,Walla,"33.31086911,-2.81356927",shallow well,0,0,unknown,seasonal,19043053011WP47_40,good,swn 80,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.31232108,-2.814099525",borehole,0,0,unknown,enough,19043053011WP48_41,good,india mark ii,unknown,never pay,DASIP,DASIP,vwc,none
functional,Mwanza,Kwimba,Walla,"33.32292049,-2.806644552",shallow well,0,0,unknown,enough,19043053011WP51_44,good,swn 80,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.31630392,-2.786520322",shallow well,0,0,unknown,enough,19043053011WP53_46,good,swn 80,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.30313207,-2.797302047",shallow well,0,0,unknown,enough,19043053011WP54_47,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.29764845,-2.797364836",shallow well,0,0,unknown,enough,19043053011WP55_48,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.34403745,-2.739080558",borehole,0,0,unknown,enough,19043053021WP02_50,good,afridev,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.3117341,-2.73106166",shallow well,0,0,unknown,enough,19043053021WP03_51,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.30755932,-2.741021718",shallow well,0,0,unknown,enough,19043053021WP04_52,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.33247692,-2.768685971",shallow well,0,0,unknown,enough,19043053021WP05_53,good,swn 80,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.31749949,-2.765912634",shallow well,0,0,unknown,enough,19043053021WP06_54,good,swn 80,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.31245365,-2.759226354",shallow well,0,0,unknown,enough,19043053021WP07_55,good,swn 80,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.35302132,-2.761046562",borehole,0,0,unknown,enough,19043053021WP08_56,good,afridev,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.32624236,-2.758490072",shallow well,0,0,unknown,enough,19043053021WP09_57,good,swn 80,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.3045388,-2.7665915",borehole,0,0,unknown,enough,19043053021WP11_58,good,afridev,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.31721898,-2.773179975",shallow well,0,0,unknown,enough,19043053021WP13_60,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.30404921,-2.750917057",borehole,0,0,unknown,enough,19043053021WP16_63,good,afridev,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.29668406,-2.739994294",shallow well,0,0,unknown,enough,19043053021WP17_64,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.279483,-2.755728659",shallow well,0,0,unknown,enough,19043053021WP18_65,good,swn 80,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.27995416,-2.753492674",shallow well,0,0,unknown,enough,19043053021WP19_66,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.28389845,-2.770666874",shallow well,0,0,unknown,enough,19043053021WP21_68,good,nira/tanira,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.25781882,-2.781808318",shallow well,0,0,unknown,enough,19043053021WP23_69,good,swn 80,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Kwimba,Walla,"33.31667811,-2.765996475",shallow well,0,0,unknown,enough,19043053021WP14_61,good,swn 80,unknown,never pay,Hifab,Hesawa,vwc,none
functional,Mwanza,Misungwi,Usagara,"32.98005208,-2.658572059",shallow well,0,0,unknown,enough,19073089031WP40_74,good,other,unknown,never pay,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Usagara,"32.9801843,-2.660483927",shallow well,0,0,unknown,insufficient,19073089031WP41_75,good,swn 80,unknown,annually,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Usagara,"33.05089855,-2.694918416",shallow well,0,0,unknown,insufficient,19073089041WP02_78,milky,nira/tanira,unknown,annually,RIDEP,RIDEP,vwc,none
