Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Njombe,Njombe Urban,Yakobi,"34.92991243,-9.411365494",spring,0,1,2000,enough,1104D202604WP15_2633,good,gravity,unknown,never pay,Tanza,Mpang,vwc,none
functional,Njombe,Njombe Urban,Yakobi,"34.93137857,-9.419094131",spring,0,30,1987,enough,1104D202604WP01_2619,good,gravity,unknown,never pay,Tanza,Mpang,vwc,none
functional,Njombe,Njombe Urban,Yakobi,"34.93406858,-9.417676185",spring,0,10,1987,enough,1104D202604WP02_2620,good,gravity,unknown,never pay,Tanza,Mpang,wua,none
functional,Njombe,Njombe Urban,Yakobi,"34.93825393,-9.41620198",spring,0,230,1987,enough,1104D202604WP03_2621,good,gravity,unknown,never pay,Tanza,Mpang,vwc,none
functional,Njombe,Njombe Urban,Yakobi,"34.93985106,-9.415365002",spring,0,35,1987,enough,1104D202604WP04_2622,good,gravity,unknown,never pay,Tanza,Mpang,vwc,none
functional,Njombe,Njombe Urban,Yakobi,"34.94210713,-9.415270701",spring,0,150,1987,enough,1104D202604WP05_2623,good,gravity,unknown,never pay,Tanza,Mpang,wua,none
functional,Njombe,Njombe Urban,Yakobi,"34.94768795,-9.418675341",spring,0,30,1987,enough,1104D202604WP06_2624,good,gravity,unknown,never pay,Tanza,Mpang,vwc,none
functional,Njombe,Njombe Urban,Yakobi,"34.94684976,-9.414286191",spring,0,30,1987,enough,1104D202604WP07_2625,good,gravity,unknown,never pay,Tanza,Mpang,vwc,none
functional,Njombe,Njombe Urban,Yakobi,"34.95225938,-9.414971301",spring,0,25,1987,enough,1104D202604WP08_2626,good,gravity,unknown,never pay,Tanza,Mpang,vwc,tap broken
functional,Njombe,Njombe Urban,Yakobi,"34.95421198,-9.415465537",spring,0,20,1987,enough,1104D202604WP09_2627,good,gravity,unknown,never pay,Tanza,Mpang,vwc,tap broken
functional,Njombe,Njombe Urban,Yakobi,"34.93932647,-9.40776298",spring,0,15,1987,enough,1104D202604WP10_2628,good,gravity,unknown,never pay,Tanza,Mpang,vwc,none
functional,Njombe,Njombe Urban,Yakobi,"34.93483958,-9.409098478",spring,0,150,1987,enough,1104D202604WP11_2629,good,gravity,unknown,never pay,Tanza,Mpang,vwc,none
functional,Njombe,Njombe Urban,Yakobi,"34.93414691,-9.411189382",spring,0,20,1987,enough,1104D202604WP12_2630,good,gravity,unknown,never pay,Tanza,Mpang,vwc,none
