Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Pwani,Bagamoyo,Zinga,"39.03963637,-6.541963307",shallow well,0,250,2009,enough,06013008081WP144_472,good,india mark ii,unknown,never pay,Donor,Do,vwc,none
functional,Pwani,Bagamoyo,Zinga,"38.98809741,-6.538720061",river/lake,50,40,2010,enough,06013008081WP104_523,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.99044631,-6.538506178",river/lake,50,120,2008,enough,06013008081WP103_522,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.99003076,-6.538496246",river/lake,50,60,2010,enough,06013008081WP101_520,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.98917511,-6.537840495",river/lake,50,30,2006,enough,06013008081WP99_518,good,submersible,unknown,per bucket,Private indiv,Da,parastatal,none
functional,Pwani,Bagamoyo,Zinga,"38.98960632,-6.525932754",river/lake,50,10,1990,enough,06013008081WP98_517,good,submersible,unknown,per bucket,DANIDA,DA,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.99918709,-6.47930608",river/lake,50,50,2010,enough,06013008081WP86_514,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.00158021,-6.479998891",river/lake,50,50,1993,enough,06013008081WP84_512,good,submersible,unknown,per bucket,DANIDA,DA,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.00150629,-6.480972062",borehole,20,55,2011,enough,06013008081WP83_511,good,submersible,unknown,per bucket,African relie,Af,vwc,none
functional,Pwani,Bagamoyo,Zinga,"38.99883309,-6.486114252",river/lake,50,60,2010,enough,06013008081WP81_509,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.0000147,-6.485977661",shallow well,0,30,2009,enough,06013008081WP80_508,good,india mark ii,unknown,never pay,Donor,Do,vwc,none
functional,Pwani,Bagamoyo,Zinga,"39.00001244,-6.486937535",river/lake,50,120,2003,enough,06013008081WP79_507,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.00240768,-6.486091529",shallow well,0,65,2009,enough,06013008081WP78_505,good,india mark ii,unknown,never pay,Donor,Do,other,none
functional,Pwani,Bagamoyo,Zinga,"39.00210387,-6.48424668",shallow well,20,50,2011,enough,06013008081WP77_504,good,submersible,unknown,per bucket,Private indiv,Pr,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.00201731,-6.484360025",river/lake,50,50,1993,enough,06013008081WP76_503,good,submersible,unknown,per bucket,DANIDA,DA,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.00025563,-6.482542588",borehole,20,70,2011,enough,06013008081WP75_502,good,submersible,unknown,per bucket,African relie,Af,vwc,none
functional,Pwani,Bagamoyo,Zinga,"39.0001781,-6.482279906",river/lake,50,70,1993,enough,06013008081WP74_501,good,submersible,unknown,per bucket,DANIDA,DA,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.97564998,-6.488263321",river/lake,50,70,2009,enough,06013008081WP72_500,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.97520816,-6.491139046",river/lake,50,110,2009,enough,06013008081WP69_496,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.97869456,-6.50036821",shallow well,0,400,2007,enough,06013008081WP68_495,good,india mark ii,unknown,never pay,Private indiv,Pr,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.9786047,-6.491591892",river/lake,50,20,2000,enough,06013008081WP65_492,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.97774817,-6.490423702",shallow well,0,60,2003,enough,06013008081WP64_491,salty,india mark ii,unknown,never pay,Donor,Do,parastatal,none
functional,Pwani,Bagamoyo,Zinga,"38.97848625,-6.488593864",river/lake,50,70,2008,enough,06013008081WP62_489,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.97494164,-6.486504442",river/lake,50,70,2008,enough,06013008081WP58_484,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.97379417,-6.485222099",river/lake,50,50,2008,enough,06013008081WP56_482,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.97284461,-6.486155671",river/lake,50,100,2008,enough,06013008081WP54_480,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.9684497,-6.483203534",river/lake,50,150,1990,enough,06013008081WP50_475,good,submersible,unknown,per bucket,DANIDA,DA,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.96734913,-6.477095791",shallow well,0,100,2009,enough,06013008081WP49_474,good,nira/tanira,unknown,never pay,DED,DW,vwc,tap broken
functional,Pwani,Bagamoyo,Zinga,"38.97911113,-6.520648945",borehole,50,40,2009,enough,06013008081WP01_369,good,submersible,unknown,per bucket,Private indiv,Pr,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.04530961,-6.525190868",shallow well,0,250,2009,enough,06013008081WP143_471,good,india mark ii,unknown,never pay,Donor,Do,vwc,none
functional,Pwani,Bagamoyo,Zinga,"39.01380577,-6.498210264",river/lake,30,440,2005,enough,06013008081WP142_470,good,submersible,unknown,per bucket,Kondo primary,Da,parastatal,none
functional,Pwani,Bagamoyo,Zinga,"39.0136029,-6.497070902",shallow well,50,20,2011,enough,06013008081WP140_468,good,submersible,unknown,per bucket,Private indiv,Pr,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.01012375,-6.495042065",river/lake,50,50,2008,enough,06013008081WP139_467,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.01273581,-6.492180003",river/lake,50,30,2010,enough,06013008081WP138_465,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.00945111,-6.490288905",river/lake,50,40,2009,enough,06013008081WP136_463,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.009772,-6.490351782",river/lake,50,30,2008,enough,06013008081WP135_462,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.00247421,-6.489723544",shallow well,20,60,2007,enough,06013008081WP134_461,good,india mark ii,unknown,per bucket,Islamic found,Is,parastatal,none
functional,Pwani,Bagamoyo,Zinga,"39.00459501,-6.490990445",shallow well,20,130,2007,enough,06013008081WP132_459,good,india mark ii,unknown,per bucket,Islamic found,Is,vwc,none
functional,Pwani,Bagamoyo,Zinga,"39.00503263,-6.490623782",river/lake,50,50,2011,enough,06013008081WP131_458,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"39.00369891,-6.483236141",river/lake,50,50,2008,enough,06013008081WP128_454,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.99804933,-6.481468935",river/lake,50,40,2007,enough,06013008081WP126_452,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.9968531,-6.481876093",river/lake,50,30,2009,enough,06013008081WP125_451,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.99678344,-6.48061089",river/lake,50,30,2010,enough,06013008081WP123_449,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.99729793,-6.479907512",river/lake,50,50,2010,enough,06013008081WP122_448,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.99730778,-6.47990565",borehole,20,50,2009,enough,06013008081WP121_447,good,submersible,unknown,per bucket,African relie,Af,vwc,none
functional,Pwani,Bagamoyo,Zinga,"38.99598067,-6.479539624",river/lake,50,30,2011,enough,06013008081WP120_446,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.9964009,-6.479953606",river/lake,50,30,2010,enough,06013008081WP119_444,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.99516104,-6.481029385",river/lake,50,30,2010,enough,06013008081WP118_443,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.99501208,-6.478374069",river/lake,50,30,2009,enough,06013008081WP115_440,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.99662222,-6.477556565",river/lake,10000,10,2008,enough,06013008081WP113_438,good,submersible,unknown,monthly,DED,Da,parastatal,tap broken
functional,Pwani,Bagamoyo,Zinga,"38.99026066,-6.536214063",river/lake,50,30,2006,enough,06013008081WP111_436,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.98883262,-6.533794063",river/lake,50,40,2010,enough,06013008081WP109_433,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
functional,Pwani,Bagamoyo,Zinga,"38.98812865,-6.537225313",river/lake,50,50,2011,enough,06013008081WP108_432,good,submersible,unknown,per bucket,Private indiv,Da,private operator,none
