Status_group,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Sumbawanga Urban,Ulumi,"31.72809226,-8.728383321",borehole,0,1000,2007,enough,1502308084WP05_628,good,india mark ii,unknown,never pay,DED,DWE,parastatal,none
functional,Sumbawanga Urban,Ulumi,"31.74220493,-8.762897714",shallow well,0,100,1994,enough,1502308084WP04_627,good,nira/tanira,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Urban,Ulumi,"31.76507469,-8.773500387",shallow well,0,50,1994,enough,1502308084WP03_626,good,nira/tanira,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Urban,Ulumi,"31.73910277,-8.771692915",shallow well,0,300,1994,enough,1502308084WP02_625,good,nira/tanira,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.50752685,-8.490261242",borehole,0,300,2002,enough,15023080051WP34_177,good,swn 80,unknown,never pay,TASAF,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.42673072,-8.412338331",borehole,0,300,2009,enough,15023080051WP11_154,good,india mark ii,unknown,never pay,TASAF,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.59766074,-8.518922539",spring,500,230,2003,enough,15023080051WP01_144,good,gravity,unknown,annually,TASAF,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.60014615,-8.520580999",spring,500,200,2003,enough,15023080051WP02_145,good,gravity,unknown,annually,TASAF,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.60226039,-8.521383778",spring,500,250,2003,enough,15023080051WP03_146,good,gravity,unknown,annually,TASAF,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.60193686,-8.519542441",spring,500,100,2003,enough,15023080051WP04_147,good,gravity,unknown,annually,TASAF,DWE,vwc,tap broken
functional,Sumbawanga Rural,Sopa,"31.59964316,-8.518995",spring,500,300,2003,enough,15023080051WP05_148,good,gravity,unknown,annually,TASAF,DWE,vwc,tap broken
functional,Sumbawanga Rural,Sopa,"31.59985947,-8.516909715",spring,500,250,2003,enough,15023080051WP06_149,good,gravity,unknown,annually,TASAF,DWE,vwc,tap broken
functional,Sumbawanga Rural,Sopa,"31.37361182,-8.458631418",borehole,0,350,2009,enough,15023080051WP09_152,good,india mark ii,unknown,never pay,ADB,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.50482465,-8.452308048",river/lake,0,150,1981,insufficient,15023080051WP27_170,good,gravity,unknown,never pay,DWE,DWE,vwc,tap broken
functional,Sumbawanga Rural,Sopa,"31.50909342,-8.444990453",river/lake,0,300,1981,insufficient,15023080051WP12_155,good,gravity,unknown,never pay,DWE,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.51030526,-8.443814611",river/lake,0,250,1981,enough,15023080051WP13_156,good,gravity,unknown,never pay,DWE,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.51105108,-8.445275572",river/lake,0,200,1981,insufficient,15023080051WP14_157,good,gravity,unknown,never pay,DWE,DWE,vwc,tap broken
functional,Sumbawanga Rural,Sopa,"31.5094126,-8.446975352",river/lake,0,260,2006,insufficient,15023080051WP16_159,good,gravity,unknown,on failure,Primo Zunda,Primo,private operator,none
functional,Sumbawanga Rural,Sopa,"31.50849561,-8.45097035",river/lake,0,200,2009,insufficient,15023080051WP18_161,good,gravity,unknown,never pay,Deogratius Kasima,Deogra,private operator,none
functional,Sumbawanga Rural,Sopa,"31.50710448,-8.451232068",river/lake,0,170,2008,insufficient,15023080051WP19_162,good,gravity,unknown,never pay,Private Individual,Claver,private operator,none
functional,Sumbawanga Rural,Sopa,"31.50728694,-8.45224861",river/lake,500,300,1986,insufficient,15023080051WP21_164,good,gravity,2010,annually,Private Individual,Claver,private operator,tap broken
functional,Sumbawanga Rural,Sopa,"31.5041126,-8.452555656",river/lake,0,50,1981,insufficient,15023080051WP26_169,good,gravity,unknown,never pay,DWE,DWE,vwc,tap broken
functional,Sumbawanga Rural,Sopa,"31.50339354,-8.456247732",river/lake,0,160,1981,insufficient,15023080051WP23_166,good,gravity,unknown,never pay,DWE,DWE,vwc,tap broken
functional,Sumbawanga Rural,Sopa,"31.50246485,-8.455142552",river/lake,0,100,2008,insufficient,15023080051WP24_167,good,gravity,unknown,never pay,Private Individual,Filber,private operator,tap broken
functional,Sumbawanga Rural,Sopa,"31.50267848,-8.454468052",river/lake,0,56,1981,insufficient,15023080051WP25_168,good,gravity,unknown,never pay,DWE,DWE,vwc,tap broken
functional,Sumbawanga Rural,Sopa,"31.503633,-8.487953625",borehole,0,150,2002,enough,15023080051WP33_176,good,swn 80,unknown,never pay,Kanisa la neema,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.49871516,-8.489332612",borehole,0,230,2002,enough,15023080051WP32_175,good,swn 80,unknown,never pay,TASAF,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.50254386,-8.49635385",borehole,0,450,2008,insufficient,15023080051WP31_174,good,india mark ii,unknown,never pay,DED,DWE,parastatal,none
functional,Sumbawanga Rural,Sopa,"31.50414136,-8.49260863",shallow well,0,230,1986,enough,15023080051WP30_173,good,nira/tanira,unknown,never pay,DWE,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.51991979,-8.511272123",borehole,500,200,2002,enough,15023080051WP29_172,salty,swn 80,unknown,on failure,TASAF,DWE,vwc,none
functional,Sumbawanga Rural,Sopa,"31.50297453,-8.451436287",river/lake,0,45,1981,insufficient,15023080051WP28_171,good,gravity,unknown,never pay,DWE,DWE,vwc,tap broken
