Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Ruvuma,Songea Rural,Wino,"35.29563646,-9.764089666",river/lake,8000,0,1997,enough,10023055021WP42,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.29982241,-9.75610965",river/lake,8000,550,1997,enough,10023055021WP01,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.29837262,-9.75639461",river/lake,8000,0,1997,enough,10023055021WP03,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.29746024,-9.755773918",river/lake,8000,0,1997,enough,10023055021WP04,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.29513611,-9.754379899",river/lake,8000,0,1996,enough,10023055021WP06,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.29443658,-9.753209869",river/lake,8000,0,1976,enough,10023055021WP07,good,submersible,unknown,annually,Unicef,Unicef,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.29378605,-9.752541242",river/lake,800,700,1997,enough,10023055021WP08,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.29251172,-9.752089975",river/lake,8000,0,1997,enough,10023055021WP09,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.2917706,-9.752177677",river/lake,8000,0,1997,enough,10023055021WP10,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.29126115,-9.75219093",river/lake,8000,0,1997,enough,10023055021WP11,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.28956184,-9.752340338",river/lake,8000,0,1997,enough,10023055021WP13,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.28833498,-9.752653894",river/lake,8000,0,1976,enough,10023055021WP15,good,submersible,unknown,annually,Unicef,Unicef,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.28799341,-9.75266182",river/lake,8000,0,1997,enough,10023055021WP16,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.2873685,-9.753015194",river/lake,8000,0,1997,enough,10023055021WP17,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.28115723,-9.754537979",river/lake,8000,800,2011,enough,10023055021WP18,good,submersible,unknown,annually,Songea District Council,DWE,vwc,none
