Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Shinyanga,Kahama,Zongomera,"32.61758232,-3.87267107",shallow well,0,0,unknown,insufficient,1703306134WP42_728,milky,other,unknown,unknown,Stephano,Stephano,private operator,none
functional,Shinyanga,Kahama,Zongomera,"32.61581314,-3.869755158",shallow well,0,0,unknown,insufficient,1703306134WP41_727,milky,other,unknown,unknown,RWSSP,DWE,private operator,none
functional,Shinyanga,Kahama,Zongomera,"32.61675551,-3.871313692",shallow well,0,0,unknown,insufficient,1703306134WP40_726,milky,other,unknown,unknown,Samsoni,Samsoni,private operator,pump broken
functional,Shinyanga,Kahama,Zongomera,"32.61096966,-3.87134207",shallow well,0,0,unknown,insufficient,1703306134WP39_725,milky,other,unknown,unknown,Samsoni,Samsoni,private operator,pump broken
functional,Shinyanga,Kahama,Zongomera,"32.61107401,-3.871137263",shallow well,0,0,unknown,insufficient,1703306134WP38_724,milky,other,unknown,unknown,Samsoni,Samsoni,private operator,pump broken
functional,Shinyanga,Kahama,Zongomera,"32.61120225,-3.872091915",shallow well,0,0,unknown,insufficient,1703306134WP37_723,milky,other,unknown,unknown,Private Individual,Christopher,private operator,pump broken
functional,Shinyanga,Kahama,Zongomera,"32.60828371,-3.872462117",shallow well,0,0,unknown,insufficient,1703306134WP36_722,milky,other,unknown,unknown,Makoye masanzu,Makoye,private operator,pump broken
functional,Shinyanga,Kahama,Zongomera,"32.60303044,-3.871173259",shallow well,0,0,unknown,insufficient,1703306134WP35_721,milky,other,unknown,unknown,Makoye masanzu,Machibya,private operator,pump broken
functional,Shinyanga,Kahama,Zongomera,"32.60782165,-3.869796885",shallow well,0,0,unknown,insufficient,1703306134WP34_720,milky,other,unknown,unknown,Machibya guma,Machibya,private operator,pump broken
functional,Shinyanga,Kahama,Zongomera,"32.60749313,-3.868320478",shallow well,0,0,unknown,insufficient,1703306134WP33_719,milky,other,unknown,unknown,Mlolwa masanja,Mlowa,private operator,pump broken
functional,Shinyanga,Kahama,Zongomera,"32.60812552,-3.869283245",shallow well,0,0,unknown,insufficient,1703306134WP31_717,milky,other,unknown,unknown,Machibya guma,Machibya,private operator,pump broken
functional,Shinyanga,Kahama,Zongomera,"32.57208212,-3.871719968",shallow well,0,0,unknown,insufficient,1703306134WP27_713,milky,nira/tanira,unknown,unknown,RWSSP,DWE,wug,none
functional,Shinyanga,Kahama,Zongomera,"32.57503034,-3.871438955",shallow well,0,0,unknown,insufficient,1703306134WP26_712,milky,nira/tanira,unknown,unknown,RWSSP,DWE,wug,none
functional,Shinyanga,Kahama,Zongomera,"32.55585119,-3.889532957",shallow well,0,0,unknown,insufficient,1703306134WP25_711,milky,nira/tanira,unknown,unknown,Community,Wananchi,wug,none
functional,Shinyanga,Shinyanga Rural,Zongomera,"32.52067076,-3.850149378",shallow well,0,0,unknown,enough,1703306130WP04_599,milky,nira/tanira,unknown,unknown,RWSSP,DWE,wug,none
functional,Shinyanga,Kahama Township Authority,Zongomera,"32.54787592,-3.856540813",shallow well,0,0,unknown,insufficient,1703306134WP19_705,milky,nira/tanira,unknown,unknown,RWSSP,DWE,wug,none
functional,Shinyanga,Kahama Township Authority,Zongomera,"32.54538925,-3.857952995",shallow well,0,0,unknown,enough,1703306134WP18_704,milky,other,unknown,unknown,RWSSP,DWE,wug,none
functional,Shinyanga,Kahama,Zongomera,"32.53663119,-3.866167779",shallow well,0,0,unknown,seasonal,1703306130WP17_625,milky,other,unknown,unknown,RWSSP,DWE,wug,pump stolen
functional,Shinyanga,Kahama,Zongomera,"32.54189829,-3.842553854",shallow well,0,0,unknown,insufficient,1703306130WP15_621,milky,nira/tanira,unknown,unknown,RWSSP,DWE,wug,none
functional,Shinyanga,Kahama,Zongomera,"32.52087025,-3.810472844",borehole,0,0,unknown,seasonal,1703306130WP14_619,milky,swn 80,unknown,unknown,RWSSP,DWE,wug,none
