Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Simiyu,Itilima,Tindabuligi,"34.38547873,-3.116421817",shallow well,0,0,unknown,enough,1706308220WP345,good,nira/tanira,unknown,never pay,Community,Community,wug,none
functional,Simiyu,Itilima,Tindabuligi,"34.38753889,-3.048484987",shallow well,0,0,unknown,insufficient,1706308221WP278,good,nira/tanira,unknown,never pay,RWSSP,WEDECO,wug,none
functional,Simiyu,Itilima,Tindabuligi,"34.40455134,-3.07938003",shallow well,0,0,unknown,enough,1706308221WP277,milky,nira/tanira,unknown,never pay,RWSSP,WEDECO,wug,none
functional,Simiyu,Itilima,Tindabuligi,"34.39764405,-3.076578909",shallow well,0,0,unknown,enough,1706308221WP275,good,nira/tanira,unknown,never pay,RWSSP,WEDECO,wug,none
functional,Simiyu,Itilima,Tindabuligi,"34.36709756,-3.110293719",shallow well,0,0,unknown,enough,1706308220WP348,good,nira/tanira,unknown,never pay,RWSSP,WEDECO,wug,none
functional,Simiyu,Itilima,Tindabuligi,"34.35869743,-3.118394715",shallow well,0,0,unknown,enough,1706308220WP347,good,nira/tanira,unknown,never pay,Community,Community,wug,none
functional,Simiyu,Itilima,Tindabuligi,"34.37605759,-3.114853984",shallow well,0,0,unknown,enough,1706308220WP346,good,nira/tanira,unknown,never pay,RWSSP,WEDECO,wug,none
functional,Simiyu,Itilima,Tindabuligi,"34.38708406,-3.097090876",shallow well,0,0,unknown,enough,1706308220WP344,good,nira/tanira,unknown,never pay,RWSSP,WEDECO,wug,none
functional,Simiyu,Itilima,Tindabuligi,"34.38378235,-3.090913777",shallow well,0,0,unknown,enough,1706308220WP343,good,nira/tanira,unknown,never pay,Community,Community,wug,none
functional,Simiyu,Itilima,Tindabuligi,"34.38142491,-3.095195682",shallow well,0,0,unknown,insufficient,1706308220WP342,good,nira/tanira,unknown,never pay,Community,Community,wug,none
