Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Singida,Singida,Urughu,"34.12252608,-4.705523697",rainwater harvesting,0,455,2006,seasonal,13013063211WP608,good,gravity,unknown,never pay,HAPA,HAPA,parastatal,none
functional,Singida,Singida,Urughu,"34.13303874,-4.644269744",borehole,500,495,1994,enough,13013063211WP607,good,afridev,unknown,monthly,TCRS,TCRS,vwc,none
functional,Singida,Manyoni,Urughu,"34.14211291,-4.730533502",borehole,0,1,2010,insufficient,13023062241WP01,good,mono,unknown,unknown,,,vwc,none
functional,Singida,Singida,Urughu,"34.20441219,-4.7083242",borehole,2000,272,2005,enough,13013063211WP613,good,afridev,unknown,on failure,SEMA,SEMA,vwc,none
functional,Singida,Singida,Urughu,"34.18129603,-4.639637857",borehole,500,290,1994,enough,13013063211WP612,good,afridev,unknown,on failure,TCRS,TCRS,vwc,none
functional,Singida,Singida,Urughu,"34.18899391,-4.638814568",borehole,2000,345,1994,enough,13013063211WP611,good,afridev,unknown,on failure,TCRS,TCRS,vwc,none
functional,Singida,Manyoni,Unyamikumbi,"34.79203773,-4.930728938",borehole,0,1,2003,enough,13042014071WP16,good,afridev,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.75618861,-4.877964617",borehole,0,128,2008,enough,13042014071WP42,good,india mark ii,unknown,never pay,SINGIDA YETU,SINGIDA YETU,wua,none
functional,Singida,Manyoni,Unyamikumbi,"34.77202134,-4.887676839",borehole,500,50,2002,enough,13042014071WP41,salty,afridev,unknown,monthly,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.77205317,-4.877652258",borehole,0,72,2005,insufficient,13042014071WP40,good,afridev,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.76214841,-4.89047784",borehole,10,48,2003,enough,13042014071WP39,good,mono,unknown,per bucket,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.75679754,-4.902841215",shallow well,0,80,2003,enough,13042014071WP34,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.75980922,-4.911691146",borehole,0,120,2005,insufficient,13042014071WP33,good,afridev,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.76461568,-4.90087498",borehole,0,99,2003,insufficient,13042014071WP31,good,afridev,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.81214685,-4.866435453",shallow well,0,125,2004,insufficient,13042014071WP27,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.80039844,-4.885449655",shallow well,0,142,2003,enough,13042014071WP26,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.79968142,-4.897172252",rainwater harvesting,0,15,1996,seasonal,13042014071WP23,good,gravity,unknown,never pay,Government of Tanzania,GOVERNMENT,wua,none
functional,Singida,Manyoni,Unyamikumbi,"34.80669511,-4.895879734",shallow well,0,99,2003,seasonal,13042014071WP22,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.79387907,-4.906729461",shallow well,0,120,2003,enough,13042014071WP19,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.79584705,-4.916682757",borehole,0,1,2009,insufficient,13042014071WP17,good,india mark ii,unknown,never pay,SILINDA YETU,SINGIDA YETU,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.8337842,-4.876825915",shallow well,0,42,2003,insufficient,13042014071WP02,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.84753231,-4.860021353",shallow well,0,33,2003,seasonal,13042014071WP01,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.84300016,-4.90086521",shallow well,0,55,2003,seasonal,13042014071WP07,milky,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.84105352,-4.914322431",shallow well,0,99,2003,enough,13042014071WP09,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.81590514,-4.91581663",borehole,0,89,2011,enough,13042014071WP14,good,india mark ii,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyamikumbi,"34.74381046,-4.9013165",shallow well,500,106,2003,seasonal,13042014071WP37,good,nira/tanira,unknown,monthly,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyamikumbi,"34.74417623,-4.901749772",borehole,0,86,2011,enough,13042014071WP36,salty,india mark ii,unknown,never pay,SINGIDA YETU,SINGIDA YETU,vwc,none
functional,Singida,Singida Urban,Unyamikumbi,"34.72547455,-4.897316878",shallow well,0,86,2005,enough,13042014071WP35,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.84540548,-4.888478895",shallow well,0,83,2003,enough,13042014071WP05,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Manyoni,Unyamikumbi,"34.84699083,-4.89904292",shallow well,0,86,2003,enough,13042014071WP11,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.79535829,-4.799714943",shallow well,0,66,2006,seasonal,13042014051WP06,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.84023263,-4.853971701",shallow well,590,44,2004,enough,13042014051WP25,good,nira/tanira,unknown,monthly,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.84803293,-4.803618891",borehole,0,135,2004,enough,13042014051WP17,salty,afridev,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.85212168,-4.817921227",shallow well,0,150,1980,enough,13042014051WP20,good,other,unknown,never pay,TCRS,TCRS,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.85591406,-4.815257959",shallow well,0,1,2004,enough,13042014051WP19,good,afridev,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.82768584,-4.824532614",shallow well,0,132,1994,enough,13042014051WP22,good,nira/tanira,unknown,never pay,Government of Tanzania,GOVERNMENT,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.83347549,-4.826215389",shallow well,0,99,2004,insufficient,13042014051WP23,good,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.80219142,-4.792329895",borehole,500,120,2004,enough,13042014051WP08,salty,afridev,unknown,monthly,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.81630187,-4.794585031",borehole,0,77,2004,enough,13042014051WP09,good,afridev,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.8229034,-4.786012827",shallow well,0,96,2004,enough,13042014051WP10,colored,nira/tanira,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.82573479,-4.793011417",shallow well,0,33,2000,seasonal,13042014051WP11,colored,other,unknown,never pay,SINGIDA YETU,SINGIDA YETU,vwc,none
functional,Singida,Singida Urban,Unyambwa,"34.8046161,-4.819926405",borehole,0,150,2008,dry,13042014051WP12,good,india mark ii,2012,never pay,SINGIDA YETU,SINGIDA YETU,wug,source damaged
functional,Singida,Singida Urban,Unyambwa,"34.82026486,-4.816450116",borehole,0,55,2004,insufficient,13042014051WP13,milky,afridev,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.82486025,-4.803811426",borehole,0,80,2004,enough,13042014051WP14,salty,afridev,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.83217618,-4.793179975",borehole,0,149,2010,enough,13042014051WP15,good,india mark ii,unknown,never pay,SINGIDA YETU,SINGIDA YETU,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.84022673,-4.81091348",borehole,0,63,2004,enough,13042014051WP18,good,afridev,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.79981707,-4.784846835",borehole,0,150,2004,enough,13042014051WP07,good,afridev,unknown,never pay,DFID,WATER AID,wug,none
functional,Singida,Singida Urban,Unyambwa,"34.78800039,-4.792743208",borehole,0,86,2007,enough,13042014051WP01,good,afridev,unknown,never pay,SINGIDA YETU,SINGIDA YETU,wug,none
functional,Singida,Ikungi,Unyahati,"34.77227906,-5.213546531",shallow well,1000,200,1990,insufficient,13023062371WP01,good,nira/tanira,unknown,on failure,,,vwc,none
functional,Singida,Singida,Unyahati,"34.77792778,-5.204331682",shallow well,1000,300,1990,insufficient,13023062371WP02,unknown,nira/tanira,unknown,on failure,,,vwc,none
functional,Singida,Singida,Unyahati,"34.78095913,-5.195114078",shallow well,1000,250,1990,insufficient,13023062371WP04,good,nira/tanira,unknown,on failure,,,vwc,none
functional,Singida,Singida,Unyahati,"34.79047512,-5.148010422",rainwater harvesting,0,360,2000,insufficient,13023062371WP12,good,other,unknown,unknown,,,vwc,none
functional,Singida,Singida,Unyahati,"34.81566882,-5.150295339",shallow well,0,300,1990,insufficient,13023062371WP15,good,nira/tanira,unknown,never pay,,,vwc,none
functional,Singida,Singida,Unyahati,"34.85539018,-5.15743672",shallow well,200,800,1990,insufficient,13023062371WP17,good,nira/tanira,unknown,on failure,,,vwc,none
functional,Singida,Singida,Unyahati,"34.86811704,-5.174379688",shallow well,0,1,1990,insufficient,13023062371WP27,good,other,unknown,never pay,,,vwc,none
functional,Singida,Singida,Unyahati,"34.81602159,-5.146359399",shallow well,0,430,1990,insufficient,13023062371WP16,good,nira/tanira,unknown,never pay,,,vwc,none
functional,Singida,Singida,Ulemo,"34.34281623,-4.389556719",borehole,50,465,2006,enough,13013063231WP466,good,submersible,unknown,per bucket,World Bank,Cosmos Engineering,wua,none
functional,Singida,Singida,Ulemo,"34.42694404,-4.410493241",borehole,2000,690,2007,enough,13013063231WP483,good,afridev,unknown,annually,World Vision,Cosmos Engineering,vwc,none
functional,Singida,Singida,Ulemo,"34.25683358,-4.358914515",shallow well,30,214,1994,enough,13013063253WP457,good,nira/tanira,unknown,per bucket,SEMA,SEMA,vwc,none
functional,Singida,Singida,Ulemo,"34.3812564,-4.479364331",borehole,50,329,2006,enough,13013063231WP495,good,submersible,unknown,per bucket,World Bank,PIT COOPERATION LTD,wua,none
functional,Singida,Singida,Ulemo,"34.38367382,-4.482831549",borehole,50,225,2006,enough,13013063231WP494,good,submersible,unknown,per bucket,World Bank,PIT COOPERATION LTD,wua,none
functional,Singida,Singida,Ulemo,"34.37879184,-4.492474966",borehole,0,35,2006,enough,13013063231WP491,good,submersible,unknown,never pay,World Bank,PIT COOPERATION LTD,parastatal,none
functional,Singida,Singida,Ulemo,"34.3811047,-4.499566312",borehole,50,205,2006,enough,13013063231WP489,good,submersible,unknown,per bucket,World Bank,PIT COOPERATION LTD,wua,none
functional,Singida,Singida,Ulemo,"34.38107177,-4.503788126",borehole,50,195,2006,enough,13013063231WP488,good,submersible,unknown,per bucket,World Bank,PIT COOPERATION LTD,wua,none
functional,Singida,Singida,Ulemo,"34.38049986,-4.510808532",borehole,50,1,2006,enough,13013063231WP487,good,submersible,unknown,per bucket,World Bank,PIT COOPERATION LTD,wua,none
functional,Singida,Singida,Ulemo,"34.37799982,-4.518492572",borehole,50,214,2006,enough,13013063231WP486,good,submersible,unknown,per bucket,World Bank,PIT COOPERATION LTD,wua,none
functional,Singida,Singida,Ulemo,"34.37525526,-4.527698873",borehole,50,128,2006,enough,13013063231WP485,good,submersible,unknown,per bucket,World Bank,PIT COOPERATION LTD,wua,none
functional,Singida,Singida,Ulemo,"34.3745022,-4.53259999",borehole,50,325,2006,enough,13013063231WP484,good,submersible,unknown,per bucket,World Bank,PIT COOPERATION LTD,wua,none
functional,Singida,Singida,Ulemo,"34.38306775,-4.48522203",borehole,0,135,2006,enough,13013063231WP493,good,submersible,unknown,never pay,World Bank,PIT COOPERATION LTD,parastatal,none
functional,Singida,Singida,Ulemo,"34.39911789,-4.405889482",borehole,0,435,2007,enough,13013063231WP482,good,afridev,unknown,never pay,World Vision,World Vision,parastatal,none
functional,Singida,Singida,Ulemo,"34.39973001,-4.413712789",shallow well,2000,425,2004,insufficient,13013063231WP478,good,afridev,unknown,monthly,World Vision,SEMA,vwc,none
functional,Singida,Singida,Ulemo,"34.40138685,-4.414565757",borehole,2000,325,2004,enough,13013063231WP477,good,afridev,unknown,monthly,World Vision,SEMA,vwc,none
