Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Tabora,Tanga,Zugimlole,"31.64839444,-5.318552492",shallow well,0,0,unknown,enough,14043068281WP02_415,salty,afridev,unknown,never pay,DWE,DWE,vwc,none
functional,Tabora,Igunga,Ziba,"33.47127467,-4.238884859",borehole,0,0,unknown,enough,1402306518WP03_252,salty,afridev,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tabora,Igunga,Ziba,"33.40435905,-4.238980756",borehole,0,0,unknown,insufficient,1402306518WP04_253,salty,submersible,unknown,per bucket,World Bank,PET,vwc,none
functional,Tabora,Igunga,Ziba,"33.40248888,-4.23850582",borehole,0,0,unknown,enough,1402306518WP05_254,salty,submersible,unknown,per bucket,World Bank,PET,vwc,none
functional,Tabora,Igunga,Ziba,"33.40153748,-4.238746802",borehole,0,0,unknown,enough,1402306518WP06_255,salty,submersible,unknown,per bucket,World Bank,PET,vwc,none
functional,Tabora,Igunga,Ziba,"33.39982138,-4.238125997",borehole,0,0,unknown,insufficient,1402306518WP07_256,salty,afridev,unknown,per bucket,World Bank,WEDECO,vwc,none
functional,Tabora,Igunga,Ziba,"33.39902758,-4.249896585",borehole,0,0,unknown,enough,1402306518WP09_258,salty,submersible,unknown,per bucket,World Bank,PET,vwc,none
functional,Tabora,Igunga,Ziba,"33.40281671,-4.280243593",borehole,0,0,unknown,insufficient,1402306518WP11_260,salty,afridev,unknown,per bucket,World Bank,WEDECO,vwc,none
functional,Tabora,Igunga,Ziba,"33.41171563,-4.255705889",borehole,0,0,unknown,enough,1402306518WP12_261,salty,afridev,unknown,per bucket,World Bank,DWE,vwc,none
functional,Tabora,Igunga,Ziba,"33.40726469,-4.196554611",borehole,0,0,unknown,enough,1402306518WP14_263,salty,afridev,unknown,per bucket,World Bank,WEDECO,vwc,none
functional,Tabora,Igunga,Ziba,"33.42371118,-4.236677142",borehole,0,0,unknown,enough,1402306518WP15_264,salty,afridev,unknown,per bucket,World Bank,WEDECO,vwc,none
functional,Tabora,Nzega,Wela,"33.34548408,-4.063204663",shallow well,0,0,unknown,seasonal,14013066111WP01,good,nira/tanira,unknown,never pay,World Vision,World Vision,vwc,none
functional,Tabora,Nzega,Wela,"33.3502473,-4.170283563",shallow well,0,0,unknown,seasonal,14013066111WP07,good,nira/tanira,unknown,never pay,World Vision,World Vision,vwc,none
functional,Tabora,Nzega,Wela,"33.3179963,-4.107903925",shallow well,0,0,unknown,enough,14013066111WP06,good,nira/tanira,unknown,never pay,World Vision,World Vision,vwc,none
functional,Tabora,Nzega,Wela,"33.31747663,-4.107949956",shallow well,0,0,unknown,enough,14013066111WP05,good,nira/tanira,unknown,never pay,World Vision,World Vision,vwc,none
functional,Tabora,Nzega,Wela,"33.32043674,-4.107521954",shallow well,0,0,unknown,enough,14013066111WP04,good,nira/tanira,unknown,never pay,World Vision,World Vision,vwc,none
functional,Tabora,Nzega,Wela,"33.33008327,-4.104306277",shallow well,0,0,unknown,enough,14013066111WP02,good,nira/tanira,unknown,never pay,World Vision,World Vision,vwc,none
functional,Tabora,Nzega,Wela,"33.29236993,-4.154643899",borehole,0,0,unknown,enough,14013066111WP11,good,afridev,unknown,on failure,World Vision,World Vision,vwc,none
functional,Tabora,Nzega,Wela,"33.32678099,-4.104307932",shallow well,0,0,unknown,enough,14013066111WP03,good,nira/tanira,unknown,never pay,World Vision,World Vision,vwc,none
functional,Tabora,Nzega,Wela,"33.30086569,-4.155977643",borehole,0,0,unknown,enough,14013066111WP08,good,india mark ii,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tabora,Kaliua,Vumilia,"31.89885331,-5.086353755",shallow well,0,0,unknown,insufficient,14043068071WP03_153,good,afridev,unknown,never pay,DWE,DWE,vwc,none
functional,Tabora,Kaliua,Vumilia,"31.90177384,-5.089088174",rainwater harvesting,0,0,unknown,seasonal,14043068071WP01_151,good,gravity,unknown,never pay,TASAF,TASAF,vwc,none
functional,Tabora,Kaliua,Vumilia,"31.93473274,-5.063665514",shallow well,0,0,unknown,insufficient,14043068071WP07_157,good,nira/tanira,unknown,never pay,Village community,Village community,vwc,none
functional,Tabora,Urambo,Uyumbu,"32.35801714,-5.173828535",dam,0,0,unknown,enough,1404306801WP15_47,good,submersible,unknown,never pay,DWE,DWE,vwc,none
functional,Tabora,Urambo,Uyumbu,"32.35866745,-5.173193897",dam,0,0,unknown,enough,1404306801WP16_48,good,submersible,unknown,never pay,DWE,DWE,vwc,none
functional,Tabora,Urambo,Uyumbu,"32.403633,-5.209586225",rainwater harvesting,0,0,unknown,seasonal,1404306801WP03_35,good,gravity,unknown,never pay,TASAF,TASAF,parastatal,none
functional,Tabora,Urambo,Uyumbu,"32.40592779,-5.217589454",shallow well,0,0,unknown,insufficient,1404306801WP02_34,good,afridev,unknown,monthly,Ubalozi wa Marekani,DWE,vwc,none
functional,Tabora,Urambo,Uyumbu,"32.42240685,-5.243174839",shallow well,0,0,unknown,enough,1404306801WP01_33,good,afridev,unknown,annually,Ubalozi wa Marekani,DWE,vwc,none
functional,Tabora,Urambo,Uyumbu,"32.35811646,-5.174306013",dam,0,0,unknown,enough,1404306801WP18_50,good,submersible,unknown,never pay,DWE,DWE,vwc,none
functional,Tabora,Urambo,Uyumbu,"32.35749467,-5.172912332",rainwater harvesting,0,0,unknown,seasonal,1404306801WP13_45,good,gravity,unknown,never pay,TASAF,TASAF,vwc,none
functional,Tabora,Urambo,Uyumbu,"32.34085155,-5.138480163",shallow well,0,0,unknown,enough,1404306801WP10_42,good,afridev,unknown,monthly,Water Aid/Sema,Water Aid/Sema,vwc,none
functional,Tabora,Urambo,Uyumbu,"32.3627889,-5.176896216",shallow well,0,0,unknown,insufficient,1404306801WP07_39,salty,afridev,unknown,monthly,Water Aid/Sema,Water Aid/Sema,vwc,none
functional,Tabora,Kaliua,Uyumbu,"32.35539889,-5.19031923",shallow well,0,0,unknown,insufficient,1404306801WP25_57,good,afridev,unknown,monthly,Water Aid/Sema,Water Aid/Sema,vwc,none
functional,Tabora,Kaliua,Uyumbu,"32.34275662,-5.241251532",shallow well,0,0,unknown,insufficient,1404306801WP28_60,good,afridev,unknown,monthly,Water Aid/Sema,Water Aid/Sema,vwc,none
