Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Tanga,Lushoto,Zirai,"38.70402212,-4.978486914",spring,0,80,2009,insufficient,04033069331WP002_382,good,gravity,unknown,never pay,John Fund,DWE,vwc,none
functional,Tanga,Lushoto,Zirai,"38.70423488,-4.979492466",spring,0,250,2010,insufficient,04033069331WP003_383,good,gravity,unknown,never pay,Shekh Said,DWE,vwc,none
functional,Tanga,Lushoto,Zirai,"38.70554124,-4.978608231",spring,0,60,1973,insufficient,04033069331WP005_385,unknown,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Zirai,"38.70608384,-4.979881852",spring,0,50,1998,insufficient,04033069331WP006_386,good,gravity,unknown,never pay,Ndolezi,DWE,vwc,none
functional,Tanga,Lushoto,Zirai,"38.70490131,-4.980599589",spring,0,150,2008,insufficient,04033069331WP007_387,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Zirai,"38.70602921,-4.981292348",spring,0,160,1999,insufficient,04033069331WP008_388,good,gravity,unknown,never pay,Mganga,DWE,vwc,none
functional,Tanga,Lushoto,Zirai,"38.70360788,-4.97782755",spring,0,80,1998,insufficient,04033069331WP001_381,good,gravity,unknown,never pay,Mzee Ngwatu,DWE,vwc,none
functional,Tanga,Lushoto,Vuga,"38.33667533,-4.887316596",spring,0,1,1972,enough,04013073201WP03_688,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Vuga,"38.33375299,-4.893284996",spring,0,1,1972,enough,04013073201WP02_687,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Mkinga,Ubangaa,"38.86840124,-5.411662416",river/lake,50,100,1973,enough,04053070111WP17_282,good,submersible,unknown,per bucket,District Council,DWE,vwc,none
functional,Tanga,Mkinga,Ubangaa,"38.87369925,-5.419735684",river/lake,50,30,1973,enough,04053070111WP20_285,good,submersible,unknown,per bucket,District Council,DWE,vwc,none
functional,Tanga,Mkinga,Ubangaa,"38.88200281,-5.434212845",river/lake,50,50,1973,insufficient,04053070111WP11_276,good,submersible,unknown,per bucket,District Council,DWE,vwc,none
functional,Tanga,Mkinga,Ubangaa,"38.93784532,-5.446196346",river/lake,50,100,2008,enough,04053070111WP03_268,salty,submersible,unknown,per bucket,District Council,DWE,vwc,none
functional,Tanga,Mkinga,Ubangaa,"38.93297484,-5.440146786",river/lake,50,300,2010,enough,04053070111WP04_269,salty,submersible,unknown,per bucket,District Council,DWE,vwc,tap broken
functional,Tanga,Mkinga,Ubangaa,"38.93186387,-5.415540762",river/lake,50,350,2010,insufficient,04053070111WP06_271,salty,submersible,unknown,per bucket,District Council,DWE,vwc,none
functional,Tanga,Mkinga,Ubangaa,"38.88323012,-5.438322539",river/lake,0,100,1973,insufficient,04053070111WP08_273,good,submersible,unknown,never pay,District Council,DWE,vwc,none
functional,Tanga,Mkinga,Ubangaa,"38.88324179,-5.438303895",river/lake,50,100,1973,insufficient,04053070111WP07_272,good,submersible,unknown,per bucket,District Council,DWE,vwc,tap broken
functional,Tanga,Mkinga,Ubangaa,"38.87988516,-5.430801936",river/lake,50,25,1973,insufficient,04053070111WP13_278,good,submersible,unknown,per bucket,District Council,DWE,vwc,none
functional,Tanga,Mkinga,Ubangaa,"38.86915816,-5.408207826",river/lake,50,120,1973,enough,04053070111WP15_280,good,gravity,unknown,per bucket,District Council,DWE,vwc,none
functional,Tanga,Mkinga,Ubangaa,"38.86862492,-5.410474241",river/lake,50,150,1973,enough,04053070111WP16_281,good,submersible,unknown,per bucket,District Council,DWE,vwc,none
functional,Tanga,Pangani,Tunguli,"37.27991222,-5.941039493",borehole,0,1619,1973,enough,04073093020WP02_41,good,swn 80,unknown,never pay,Kilindi District Co,DWE,vwc,none
functional,Tanga,Pangani,Tunguli,"37.36182536,-5.919823674",rainwater harvesting,0,1450,2010,insufficient,04073093020WP01_39,good,gravity,unknown,never pay,AMREF,DWE,vwc,none
functional,Tanga,Pangani,Tunguli,"37.26986769,-5.935875717",shallow well,0,2016,1997,insufficient,04073093020WP05_44,salty,swn 80,unknown,never pay,Kilindi District Co,DWE,vwc,none
functional,Tanga,Handeni,Tungamaa,"38.93661698,-5.504721909",river/lake,20,500,2007,enough,04053070081WP05_205,good,submersible,unknown,per bucket,District Council,DWE,vwc,none
functional,Tanga,Handeni,Tungamaa,"38.89113486,-5.481831219",borehole,20,45,2001,insufficient,04053070081WP08_208,good,submersible,unknown,per bucket,District Council,DWE,vwc,tap broken
functional,Tanga,Handeni,Tungamaa,"38.93530343,-5.506726981",river/lake,20,400,2007,enough,04053070081WP03_203,good,submersible,unknown,per bucket,District Council,DWE,vwc,tap broken
functional,Tanga,Lushoto,Tongwe,"38.70577484,-5.084326506",spring,0,120,1975,insufficient,04033069182WP06_270,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.71086253,-5.053119455",spring,0,1,1975,seasonal,04033069182WP01_265,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.70973981,-5.116531988",spring,0,80,1975,insufficient,04033069182WP25_290,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.71175485,-5.127559174",spring,0,500,2010,insufficient,04033069182WP30_295,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.71094583,-5.127489327",spring,0,300,2010,insufficient,04033069182WP31_296,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,tap broken
functional,Tanga,Lushoto,Tongwe,"38.70441313,-5.124826014",spring,0,400,1975,insufficient,04033069182WP32_297,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,tap broken
functional,Tanga,Lushoto,Tongwe,"38.69776598,-5.132638142",spring,0,800,2004,insufficient,04033069182WP33_298,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,tap broken
functional,Tanga,Lushoto,Tongwe,"38.69970838,-5.130547925",spring,0,200,1975,insufficient,04033069182WP34_299,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,tap broken
functional,Tanga,Lushoto,Tongwe,"38.69030178,-5.126891436",spring,0,200,2004,insufficient,04033069182WP37_302,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.70204479,-5.130681318",spring,0,700,1975,insufficient,04033069182WP39_304,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,tap broken
functional,Tanga,Lushoto,Tongwe,"38.70212907,-5.133951919",spring,0,800,1975,insufficient,04033069182WP40_305,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,tap broken
functional,Tanga,Lushoto,Tongwe,"38.70152604,-5.136174895",spring,0,1000,2004,insufficient,04033069182WP41_306,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.70911525,-5.107402023",spring,0,80,2004,insufficient,04033069182WP15_280,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.71005734,-5.109426312",spring,0,50,2000,insufficient,04033069182WP16_281,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.71249295,-5.110040621",spring,0,300,1975,insufficient,04033069182WP17_282,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.7025163,-5.096219505",spring,0,150,2003,insufficient,04033069182WP11_275,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.70000026,-5.100845968",spring,0,700,2003,insufficient,04033069182WP10_274,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,tap broken
functional,Tanga,Lushoto,Tongwe,"38.71147155,-5.054641798",spring,0,120,1975,insufficient,04033069182WP03_267,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.71217368,-5.115093557",spring,0,120,1975,insufficient,04033069182WP26_291,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.71237042,-5.127641258",spring,0,120,2003,insufficient,04033069182WP29_294,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.70703421,-5.11981605",spring,0,300,1975,insufficient,04033069182WP24_289,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.7049324,-5.119633185",spring,0,150,1975,insufficient,04033069182WP23_288,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Tanga,Lushoto,Tongwe,"38.7034189,-5.115099907",spring,0,80,2010,insufficient,04033069182WP22_287,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,tap broken
functional,Tanga,Lushoto,Tongwe,"38.70349218,-5.114546328",spring,0,100,2010,insufficient,04033069182WP21_286,good,gravity,unknown,never pay,Government of Tanzania,DWE,vwc,none
